playlist_name,playlist_owner,track_name,artist,album,duration,popularity
2000's throwback + pOp,sushrutaa,Beautiful Liar,Beyoncé,B'Day Deluxe Edition,199853,75
2000's throwback + pOp,sushrutaa,DJ Got Us Fallin' In Love,USHER,DJ Got Us Fallin' In Love,222160,0
2000's throwback + pOp,sushrutaa,My Passion - Radio Edit,Akcent,That's My Name,201080,0
2000's throwback + pOp,sushrutaa,Mirrors,Justin Timberlake,The 20/20 Experience,484146,0
2000's throwback + pOp,sushrutaa,Kylie - Radio Edit,Akcent,Kylie,251000,0
2000's throwback + pOp,sushrutaa,Sweet Nothing (feat. Florence Welch),Calvin Harris,18 Months,212560,75
2000's throwback + pOp,sushrutaa,We Found Love,Rihanna,Talk That Talk (Deluxe),215226,65
2000's throwback + pOp,sushrutaa,Faith,Calvin Harris,Motion,219200,50
2000's throwback + pOp,sushrutaa,I Need Your Love (feat. Ellie Goulding),Calvin Harris,18 Months,234506,73
2000's throwback + pOp,sushrutaa,Wake Me Up - Radio Edit,Avicii,True,247426,21
2000's throwback + pOp,sushrutaa,Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission,176561,21
2000's throwback + pOp,sushrutaa,The Nights,Avicii,The Days / Nights,176658,0
2000's throwback + pOp,sushrutaa,Wasted,Tiësto,A Town Called Paradise,190013,0
2000's throwback + pOp,sushrutaa,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,Prayer,189399,68
2000's throwback + pOp,sushrutaa,Firestone,Kygo,Cloud Nine,271640,78
2000's throwback + pOp,sushrutaa,If I Lose Myself,OneRepublic,Native,241640,53
2000's throwback + pOp,sushrutaa,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,210960,83
2000's throwback + pOp,sushrutaa,Titanium (feat. Sia),David Guetta,Nothing but the Beat,245040,60
2000's throwback + pOp,sushrutaa,Take Me to Church,Hozier,Hozier,241693,65
2000's throwback + pOp,sushrutaa,Glad You Came,The Wanted,The Wanted,198186,40
2000's throwback + pOp,sushrutaa,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,FutureSex/LoveSounds,448573,0
2000's throwback + pOp,sushrutaa,Where Is The Love?,Black Eyed Peas,Elephunk,272533,3
2000's throwback + pOp,sushrutaa,Somebody That I Used To Know,Gotye,Making Mirrors,244973,77
2000's throwback + pOp,sushrutaa,That's My Name,Akcent,That's My Name,253680,0
2000's throwback + pOp,sushrutaa,Stereo Love - Radio Edit,Edward Maya,Stereo Love,185120,0
2000's throwback + pOp,sushrutaa,Rain Over Me (feat. Marc Anthony),Pitbull,Planet Pit (Deluxe Version),231573,71
2000's throwback + pOp,sushrutaa,Every Teardrop Is a Waterfall,Coldplay,Mylo Xyloto,240796,72
2000's throwback + pOp,sushrutaa,Light It Up - Remix,Major Lazer,Peace Is The Mission (Extended),166138,0
2000's throwback + pOp,sushrutaa,Ocean Drive,Duke Dumont,Ocean Drive,206320,72
2000's throwback + pOp,sushrutaa,Pompeii,Bastille,Bad Blood,214147,73
2000's throwback + pOp,sushrutaa,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,The Heist,258342,82
2000's throwback + pOp,sushrutaa,Time of Our Lives,Pitbull,Globalization,229360,82
2000's throwback + pOp,sushrutaa,Wake Me Up,Avicii,True,247426,12
2000's throwback + pOp,sushrutaa,Dynamite,Taio Cruz,Rokstarr,203866,71
2000's throwback + pOp,sushrutaa,Radioactive,Imagine Dragons,Night Visions,186813,17
2000's throwback + pOp,sushrutaa,Timber,Pitbull,Global Warming: Meltdown (Deluxe Version),204160,83
2000's throwback + pOp,sushrutaa,International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),227280,78
2000's throwback + pOp,sushrutaa,We Found Love,Rihanna,Talk That Talk,215226,84
2000's throwback + pOp,sushrutaa,My House,Flo Rida,My House,192190,77
2000's throwback + pOp,sushrutaa,It Ain’t Me (with Selena Gomez),Kygo,It Ain't Me,220780,69
2000's throwback + pOp,sushrutaa,The Nights,Avicii,The Days / Nights,176658,87
2000's throwback + pOp,sushrutaa,Still Got Time (feat. PARTYNEXTDOOR),ZAYN,Still Got Time (feat. PARTYNEXTDOOR),188490,58
2000's throwback + pOp,sushrutaa,Headlights (feat. Ilsey),Robin Schulz,Headlights (feat. Ilsey),209208,56
2000's throwback + pOp,sushrutaa,Let It Go,James Bay,Chaos And The Calm,260532,73
2000's throwback + pOp,sushrutaa,Counting Stars,OneRepublic,Native,257840,75
2000's throwback + pOp,sushrutaa,We No Speak Americano - Radio Edit,Yolanda Be Cool,We No Speak Americano (Yolanda Be Cool vs. DCUP) (Remixes Vol. 1),157440,0
2000's throwback + pOp,sushrutaa,Feeling Good,Michael Bublé,It's Time,237333,68
2000's throwback + pOp,sushrutaa,Hey There Delilah,Plain White T's,All That We Needed,232533,80
2000's throwback + pOp,sushrutaa,On The Floor - Radio Edit,Jennifer Lopez,On The Floor,230906,73
2000's throwback + pOp,sushrutaa,Rich Girl,Gwen Stefani,Love Angel Music Baby,236213,0
2000's throwback + pOp,sushrutaa,Dilemma,Nelly,Nellyville,289160,79
2000's throwback + pOp,sushrutaa,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,Planet Pit (Deluxe Version),252306,84
2000's throwback + pOp,sushrutaa,Suit & Tie (feat. Jay-Z),Justin Timberlake,The 20/20 Experience (Deluxe Version),326280,68
2000's throwback + pOp,sushrutaa,Alejandro,Lady Gaga,The Fame Monster (Deluxe),274213,0
2000's throwback + pOp,sushrutaa,I Love It (feat. Charli XCX),Icona Pop,I Love It (feat. Charli XCX),155337,66
2000's throwback + pOp,sushrutaa,Fast Car,Jonas Blue,Fast Car,212424,70
2000's throwback + pOp,sushrutaa,Cold,Maroon 5,Cold,234308,0
2000's throwback + pOp,sushrutaa,Dead,Madison Beer,As She Pleases,194826,0
2000's throwback + pOp,sushrutaa,We Are Young,fun.,Now That's What I Call Music 2012-13,237106,19
2000's throwback + pOp,sushrutaa,Payphone,Maroon 5,Overexposed Track By Track,231173,84
2000's throwback + pOp,sushrutaa,Blame (feat. John Newman),Calvin Harris,Motion,212960,79
2000's throwback + pOp,sushrutaa,How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,212640,79
2000's throwback + pOp,sushrutaa,Outside (feat. Ellie Goulding),Calvin Harris,Motion,227266,82
2000's throwback + pOp,sushrutaa,"Young, Wild & Free",Snoop Dogg,Smash Hits 2012!,207333,30
2000's throwback + pOp,sushrutaa,Scream & Shout,will.i.am,#willpower,283400,79
2000's throwback + pOp,sushrutaa,Apologize,OneRepublic,Dreaming Out Loud (Deluxe),208106,54
2000's throwback + pOp,sushrutaa,Cooler Than Me - Single Mix,Mike Posner,31 Minutes to Takeoff,213293,77
2000's throwback + pOp,sushrutaa,The Reason,Hoobastank,The Reason,232800,0
2000's throwback + pOp,sushrutaa,Safe And Sound,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),192789,84
2000's throwback + pOp,sushrutaa,Stan,Eminem,The Marshall Mathers LP,404106,83
2000's throwback + pOp,sushrutaa,Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,275986,85
2000's throwback + pOp,sushrutaa,"Hold On, We're Going Home",Drake,Nothing Was The Same (Deluxe),227880,76
2000's throwback + pOp,sushrutaa,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],289133,83
2000's throwback + pOp,sushrutaa,Heartbeat,Enrique Iglesias,Euphoria (Standard US/Latin version),256079,45
2000's throwback + pOp,sushrutaa,Tonight (I'm Fuckin' You),Enrique Iglesias,Euphoria,232213,66
2000's throwback + pOp,sushrutaa,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",216773,84
2000's throwback + pOp,sushrutaa,Summer,Calvin Harris,Motion,222533,83
2000's throwback + pOp,sushrutaa,TiK ToK,Kesha,Animal (Expanded Edition),199693,83
2000's throwback + pOp,sushrutaa,One More Night,Maroon 5,Overexposed Track By Track,219546,78
2000's throwback + pOp,sushrutaa,Demons,Imagine Dragons,Night Visions,177506,86
2000's throwback + pOp,sushrutaa,It's Time,Imagine Dragons,Night Visions,240306,74
2000's throwback + pOp,sushrutaa,Pon de Replay,Rihanna,Music Of The Sun,246960,80
2000's throwback + pOp,sushrutaa,You've Got The Love,Florence + The Machine,Lungs (Deluxe Version),168666,77
2000's throwback + pOp,sushrutaa,My Love (feat. Drake),Majid Jordan,Majid Jordan,248432,0
2000's throwback + pOp,sushrutaa,Royals,Lorde,Pure Heroine,190185,82
2000's throwback + pOp,sushrutaa,Riptide,Vance Joy,Dream Your Life Away,204280,85
2000's throwback + pOp,sushrutaa,Girls,The 1975,The 1975 (Deluxe Version),254620,58
2000's throwback + pOp,sushrutaa,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,242373,87
2000's throwback + pOp,sushrutaa,Dirty Paws,Of Monsters and Men,My Head Is An Animal,278373,70
2000's throwback + pOp,sushrutaa,Queen Of Peace - Radio Edit,Florence + The Machine,Queen Of Peace (Radio Edit),229211,18
2000's throwback + pOp,sushrutaa,Shades Of Cool,Lana Del Rey,Ultraviolence (Deluxe),342093,70
2000's throwback + pOp,sushrutaa,Feel So Close - Radio Edit,Calvin Harris,18 Months,206413,82
2000's throwback + pOp,sushrutaa,Stay With Me,Akcent,That's My Name,247188,39
