playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Wake Me Up,Avicii,True,247426,12
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,You Make Me,Avicii,True,233346,1
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Hey Brother,Avicii,True,255093,1
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Addicted To You,Avicii,True,148386,0
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,The Days,Avicii,The Days / Nights,278480,67
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,The Nights,Avicii,The Days / Nights,176658,87
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Waiting For Love,Avicii,Stories,230613,83
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Talk To Myself,Avicii,Stories,235800,49
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Touch Me,Avicii,Stories,186173,46
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Ten More Days,Avicii,Stories,245813,48
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Broken Arrows,Avicii,Stories,232760,62
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,True Believer,Avicii,Stories,288146,46
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,City Lights,Avicii,Stories,388946,46
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Sunset Jesus,Avicii,Stories,264733,52
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Can't Catch Me,Avicii,Stories,239053,48
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Somewhere In Stockholm,Avicii,Stories,202906,49
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Trouble,Avicii,Stories,171506,57
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Gonna Love Ya,Avicii,Stories,215813,57
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Peace Of Mind (feat. Vargas & Lagola),Avicii,TIM,180000,49
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Heaven,Avicii,TIM,277261,67
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,SOS (feat. Aloe Blacc),Avicii,TIM,157202,74
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Bad Reputation (feat. Joe Janiak),Avicii,TIM,205416,59
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Ain't A Thing (feat. Bonn),Avicii,TIM,183660,48
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Heart Upon My Sleeve (feat. Imagine Dragons),Avicii,TIM,254165,62
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Friend Of Mine (feat. Vargas & Lagola),Avicii,AVĪCI (01),159863,58
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Lonely Together (feat. Rita Ora),Avicii,AVĪCI (01),181812,72
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,You Be Love (feat. Billy Raffoul),Avicii,AVĪCI (01),207545,55
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,Without You (feat. Sandro Cavazza),Avicii,AVĪCI (01),181672,80
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,What Would I Change It To (feat. Aluna),Avicii,AVĪCI (01),185454,56
Avicheeeeee,22auvhdoqxfrv4t7stdgfxqha,So Much Better - Avicii Remix,Avicii,AVĪCI (01),157152,56
