playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Chauffeur,Diljit Dosanjh,Chauffeur,205040,62
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Naiyo Jaan De,Fateh,Bring It Home,195426,19
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,I Been That (feat. Emiway Bantai),Dax,I Been That (feat. Emiway Bantai),201874,33
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,G.O.A.T.,Diljit Dosanjh,G.O.A.T.,223636,66
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Point Em' Out,Fateh,Goes Without Saying,161538,13
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Fuck Em All,Sidhu Moose Wala,Fuck Em All,234130,63
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,No Love,Shubh,No Love,170387,80
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Fame,Fateh,Bring It Home,229614,30
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Baller,Fateh,Long Story Short,133363,32
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Long Story Short,Fateh,Long Story Short,151419,30
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Attitude,Chani Nattan,Attitude,181381,36
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,N.Y. to T.O.,Fateh,Long Story Short,152907,27
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,On My Own,Fateh,To Whom It May Concern,212000,29
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,15 Minutes,Fateh,Bring It Home,213020,27
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Catch Up,Fateh,Goes Without Saying,137390,24
Bhajans 🙏,jhjlihnd37l95941r5puo1oq7,Link,Fateh,Long Story Short,161806,24
