playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Desi Hip Hop - Class Apart,rajanpanwar,Court Kacheri,Boyblanck,Court Kacheri,175226,24
Desi Hip Hop - Class Apart,rajanpanwar,Evident Domination,G16,Its Good To Be Back,160658,21
Desi Hip Hop - Class Apart,rajanpanwar,Adidas,MC Amrit,Adidas,126300,35
Desi Hip Hop - Class Apart,rajanpanwar,Zone (Skit),MC Amrit,Yellow Pallette,88543,6
Desi Hip Hop - Class Apart,rajanpanwar,Keechad,MC Amrit,Keechad,146024,2
Desi Hip Hop - Class Apart,rajanpanwar,Exodus,MC Amrit,Exodus,155081,4
Desi Hip Hop - Class Apart,rajanpanwar,Nasha Mukti,MC Amrit,Nasha Mukti,188026,4
Desi Hip Hop - Class Apart,rajanpanwar,Zaaya,DRV,Zaaya,161990,19
Desi Hip Hop - Class Apart,rajanpanwar,Coochie Wet,DRV,NAKSHATRA,140571,13
Desi Hip Hop - Class Apart,rajanpanwar,2023 FLOW,Sikander Kahlon,2023 FLOW,334116,30
Desi Hip Hop - Class Apart,rajanpanwar,YB,Zorba,DZs Control,211393,14
Desi Hip Hop - Class Apart,rajanpanwar,Gurbat,Inferno,Gurbat,153486,1
Desi Hip Hop - Class Apart,rajanpanwar,Sadak,BAGI MUNDA,SANJU & SALLU,222526,22
Desi Hip Hop - Class Apart,rajanpanwar,Tadpan,BAGI MUNDA,SANJU & SALLU,232000,26
Desi Hip Hop - Class Apart,rajanpanwar,junkie,92 Zorba,junkie,199628,0
Desi Hip Hop - Class Apart,rajanpanwar,Alag Party,92 BigNexx,BAMN,151666,0
Desi Hip Hop - Class Apart,rajanpanwar,Ekant,92 Zorba,Ekant,156774,3
Desi Hip Hop - Class Apart,rajanpanwar,Kattar,92 BigNexx,Katte Chhuri,165651,0
Desi Hip Hop - Class Apart,rajanpanwar,Khoonkar,92 BigNexx,Katte Chhuri,150373,0
Desi Hip Hop - Class Apart,rajanpanwar,Bruhm,Zorba,DZs Control,213373,17
Desi Hip Hop - Class Apart,rajanpanwar,Bla Ka Ka Ka,Dhanji,DZs Control,115991,33
Desi Hip Hop - Class Apart,rajanpanwar,Donz,Zorba,DZs Control,183586,11
Desi Hip Hop - Class Apart,rajanpanwar,YB,Zorba,DZs Control,211393,14
Desi Hip Hop - Class Apart,rajanpanwar,Alone,BAGI MUNDA,UNDERPASS : THE ALBUM,208620,1
Desi Hip Hop - Class Apart,rajanpanwar,God is Dead,BAGI MUNDA,God is Dead,371295,7
Desi Hip Hop - Class Apart,rajanpanwar,Nisha Sweety,Sikander Kahlon,Nisha Sweety,242785,30
Desi Hip Hop - Class Apart,rajanpanwar,Wu Tang,Sikander Kahlon,SK Is the Future,266251,12
Desi Hip Hop - Class Apart,rajanpanwar,Gang Culture (Begaana),Sikander Kahlon,SK Is the Future,267460,7
Desi Hip Hop - Class Apart,rajanpanwar,First Day of School,Sikander Kahlon,SK Is the Future,284392,9
Desi Hip Hop - Class Apart,rajanpanwar,Interview Room,Bandzo3rd,Interview Room,205035,14
Desi Hip Hop - Class Apart,rajanpanwar,Street Rules,Bandzo3rd,Street Rules,255652,21
Desi Hip Hop - Class Apart,rajanpanwar,Snitches Ko Stitches,Bandzo3rd,Snitches Ko Stitches,205970,32
Desi Hip Hop - Class Apart,rajanpanwar,Dafaa 302,Bandzo3rd,3rd Degree,198635,13
Desi Hip Hop - Class Apart,rajanpanwar,Wicked Bunny,Bandzo3rd,3rd Degree,204016,15
Desi Hip Hop - Class Apart,rajanpanwar,J Walker,Bandzo3rd,3rd Degree,201613,10
Desi Hip Hop - Class Apart,rajanpanwar,Botal Vaddi,Bandzo3rd,3rd Degree,141191,11
Desi Hip Hop - Class Apart,rajanpanwar,Afsana,YAS the Underdog,Afsana,95387,27
Desi Hip Hop - Class Apart,rajanpanwar,Dastan,YAS the Underdog,Dastan,198974,18
Desi Hip Hop - Class Apart,rajanpanwar,Kaam Chaalu,Ab 17,TEZ FILAM,148108,26
Desi Hip Hop - Class Apart,rajanpanwar,gande ilaake se,Sez on the Beat,gande ilaake se,151190,19
Desi Hip Hop - Class Apart,rajanpanwar,Zaaya,DRV,NAKSHATRA,161990,21
Desi Hip Hop - Class Apart,rajanpanwar,Bombay,Tannerwell,Bombay,130064,21
Desi Hip Hop - Class Apart,rajanpanwar,Chadhai,DRV,NAKSHATRA,158608,19
Desi Hip Hop - Class Apart,rajanpanwar,Desktop,Boyblanck,Desktop,120750,32
Desi Hip Hop - Class Apart,rajanpanwar,Chaahu Na,Inferno,Chaahu Na,202409,3
