playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,The Change (feat. DMA’S),What So Not,The Change (feat. DMA’S),277555,22
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Butterflies,Skrillex,Butterflies,195937,50
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,The Difference,Flume,The Difference,139662,71
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Treat You Right,The Jungle Giants,Treat You Right,221466,32
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Reflections,Mat Zo,Reflections,267907,0
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Sientelo,Mefjus,Sientelo,290742,0
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Vibin',Monty,Vibin',286896,23
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Way Back,Skrillex,Way Back,119314,53
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Leave Me Like This,Skrillex,Leave Me Like This,188571,55
Drum&Basssssss,22auvhdoqxfrv4t7stdgfxqha,Always in a Hurry,Medasin,Always in a Hurry,164769,33
