playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Start Over Again (feat. Vula),Marc Benjamin,Start Over Again (feat. Vula),159360,28
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Dancing Alone,Marc Benjamin,Dancing Alone,148571,29
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Pressure (feat. Tove Lo),Martin Garrix,Pressure (feat. Tove Lo),144391,66
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,212640,79
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Tondo,Disclosure,ENERGY (Deluxe),329280,62
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Douha (Mali Mali),Disclosure,ENERGY (Deluxe),294600,51
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,My High,Disclosure,ENERGY (Deluxe),294920,46
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Sugar Coated,Able Heart,Let Me Know When It's Over,212025,0
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,It’s Only for You,Robin Schulz,IIII,170877,25
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Vivid,sumthin sumthin,Vivid,209299,35
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Fool,Rome in Silver,Fool,230400,35
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Bullit,Watermät,Bullit,427340,37
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Piece Of Your Heart,MEDUZA,Piece Of Your Heart,152913,1
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Keep This Fire Burning,Bolier,Keep This Fire Burning,157804,33
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Amazon,Bougenvilla,Amazon,202001,0
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,One On One,Tujamo,One On One,177900,40
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Nova - Original Mix,Dimitri Vegas & Like Mike,Nova,252657,36
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Pogo,AREA21,Pogo,175238,39
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Shadows,Bhaskar,Shadows,154500,28
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Trechter,Zonderling,Martin Garrix presents STMPD RCRDS Vol. 006,408387,18
Future house in the present,22auvhdoqxfrv4t7stdgfxqha,Hips (w/ Mindchatter),Emmit Fenn,Hips (w/ Mindchatter),224587,0
