playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Guitar Strumming,12125043684,The Heart That Slows Down,Canyon City,Smoke & Ash,251970,0
Guitar Strumming,12125043684,Let's Be Still,The Head And The Heart,Let's Be Still,268346,0
Guitar Strumming,12125043684,Only Love,Ben Howard,Every Kingdom,249173,72
Guitar Strumming,12125043684,Rivers And Roads,The Head And The Heart,The Head And The Heart,284000,0
Guitar Strumming,12125043684,Never Change,Chase Coy,Where the Road Parts,170767,25
Guitar Strumming,12125043684,Sleep On The Floor,The Lumineers,Cleopatra,211851,70
Guitar Strumming,12125043684,The Breach,Dustin Tebbutt,The Breach EP,253848,62
Guitar Strumming,12125043684,Beach Baby,Bon Iver,Blood Bank,160093,0
Guitar Strumming,12125043684,All the Pretty Girls - Recorded at Spotify Studios NYC,KALEO,Spotify Singles,307172,49
Guitar Strumming,12125043684,Stay Alive,José González,Stay Alive (From The Secret Life Of Walter Mitty),266906,68
Guitar Strumming,12125043684,Dirty Old Town,Craig Cardiff,Goodnight (Go Home),246453,0
Guitar Strumming,12125043684,Foreign Hands (George's Version),George Ogilvie,Foreign Hands (George's Version),258530,48
Guitar Strumming,12125043684,reverie,isaac gracie,reverie,343249,39
Guitar Strumming,12125043684,"Portland, Maine",Donovan Woods,"Portland, Maine",203893,0
Guitar Strumming,12125043684,little light - acoustic version,Lewis Watson,little light (acoustic version),256415,38
Guitar Strumming,12125043684,In Your Arms,Chef'Special,Passing Through,215269,57
Guitar Strumming,12125043684,Heavy,Birdtalker,Heavy,264150,45
Guitar Strumming,12125043684,"Flightless Bird, American Mouth",Iron & Wine,The Shepherd's Dog,241917,2
Guitar Strumming,12125043684,Spirit Cold,Tall Heights,Neptune,222293,52
Guitar Strumming,12125043684,Paper Aeroplane,Angus & Julia Stone,"Home Grown Roots, Vol. 1",220880,40
Guitar Strumming,12125043684,Holocene,Bon Iver,Bon Iver,336613,1
Guitar Strumming,12125043684,Tiger Striped Sky,Roo Panes,Little Giant,241720,61
Guitar Strumming,12125043684,A closeness,Dermot Kennedy,Doves & Ravens,251173,58
Guitar Strumming,12125043684,People Change,Mipso,People Change,212853,0
Guitar Strumming,12125043684,The Night We Met,Lord Huron,Strange Trails,208211,1
Guitar Strumming,12125043684,Runaway,Ziggy Alberts,Runaway,272733,1
Guitar Strumming,12125043684,Fever To The Form,Nick Mulvey,First Mind,252960,69
Guitar Strumming,12125043684,Keep Your Head Up,Ben Howard,Every Kingdom,264546,67
Guitar Strumming,12125043684,The Spark,Joshua Hyslop,In Deepest Blue (Bonus Track Version),201933,0
Guitar Strumming,12125043684,More I See,S. Carey,Hundred Acres,243733,0
Guitar Strumming,12125043684,Riptide,Vance Joy,Dream Your Life Away (Special Edition),204280,81
Guitar Strumming,12125043684,Down In The Valley,The Head And The Heart,The Head And The Heart,303653,0
Guitar Strumming,12125043684,My Lover,Birdtalker,My Lover,269595,49
Guitar Strumming,12125043684,Higher Love,James Vincent McMorrow,Early in the Morning (Special Edition),215589,57
Guitar Strumming,12125043684,"Penny, Heads Up",Caamp,"Penny, Heads Up",207186,42
Guitar Strumming,12125043684,Bones,Dustin Tebbutt,Bones EP,265098,49
Guitar Strumming,12125043684,Olalla,Blanco White,Nocturne EP,247373,46
Guitar Strumming,12125043684,One of These Days,Vance Joy,Nation of Two,176440,44
Guitar Strumming,12125043684,Bloom (Online Bonus Track),The Paper Kites,Woodland,209816,69
Guitar Strumming,12125043684,Heartbeats,José González,Veneer,160240,70
Guitar Strumming,12125043684,Spark,Amber Run,5AM (Expanded Edition),229106,36
Guitar Strumming,12125043684,Horse to Water,Tall Heights,Neptune,244960,53
Guitar Strumming,12125043684,It'll Work Itself Out,Donovan Woods,They Are Going Away,182805,0
Guitar Strumming,12125043684,Chateau,Angus & Julia Stone,Snow,273560,0
Guitar Strumming,12125043684,broken wheel,isaac gracie,isaac gracie (extended edition),210714,26
Guitar Strumming,12125043684,Anyway,Canyon City,Bluebird,182666,0
Guitar Strumming,12125043684,Surveillance,George Ogilvie,Nowhere,252154,44
Guitar Strumming,12125043684,Power Over Me,Dermot Kennedy,Power Over Me,206960,0
Guitar Strumming,12125043684,Time After Time,Iron & Wine,Time After Time,170216,0
Guitar Strumming,12125043684,The Wolves,Ben Howard,Every Kingdom,309346,56
Guitar Strumming,12125043684,The Flood,Joshua Hyslop,In Deepest Blue (Bonus Track Version),261640,0
Guitar Strumming,12125043684,On That Day,Ásgeir,In the Silence,225850,21
Guitar Strumming,12125043684,Old Pine,Ben Howard,Every Kingdom,328506,68
Guitar Strumming,12125043684,Grow as We Go,Ben Platt,Sing To Me Instead,249426,64
Guitar Strumming,12125043684,Outnumbered,Dermot Kennedy,Outnumbered,245699,64
Guitar Strumming,12125043684,Between The Bars,Elliott Smith,Either/Or,141280,67
Guitar Strumming,12125043684,Old Lady - Bonus Track,The Lumineers,III,257360,33
Guitar Strumming,12125043684,Pretty Girls,Ex Vivian,ex vivian,234040,13
Guitar Strumming,12125043684,Love is Still a Long Road,Ida Mae,Chasing Lights,199400,14
Guitar Strumming,12125043684,From the Dining Table,Harry Styles,Harry Styles,211960,73
