playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Nights,Frank Ocean,Blonde,307151,80
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Needed,Brent Faiyaz,Sonder Son,248293,59
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Passionfruit,Drake,More Life,298940,86
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Small Worlds,Mac Miller,Swimming,271733,79
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Small Worlds,Mac Miller,Swimming,271733,79
Highway to hell,jzy08xcguv4xn7ynyjejih29d,20 Something,SZA,Ctrl,198160,71
Highway to hell,jzy08xcguv4xn7ynyjejih29d,FACE,BROCKHAMPTON,SATURATION,259000,62
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Freaking Out the Neighborhood,Mac DeMarco,2,173888,0
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Deadcrush,alt-J,RELAXER,232013,0
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Belly (The Grass Stains),Rex Orange County,Bcos U Will Never B Free,259735,0
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Is It True,Tame Impala,The Slow Rush,239266,70
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Call Me Up,HOMESHAKE,Fresh Air,148563,52
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Stars Align (with Drake),Majid Jordan,Wildest Dreams,260519,7
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Peach,Kevin Abstract,ARIZONA BABY,176732,68
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Pink + White,Frank Ocean,Blonde,184516,89
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Love Galore (feat. Travis Scott),SZA,Ctrl,275080,79
Highway to hell,jzy08xcguv4xn7ynyjejih29d,BEST INTEREST,"Tyler, The Creator",BEST INTEREST,127921,81
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Good Days,SZA,Good Days,279204,80
Highway to hell,jzy08xcguv4xn7ynyjejih29d,rest up,boy pablo,Wachito Rico,204464,39
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Outta Time (feat. Drake),Bryson Tiller,A N N I V E R S A R Y,198821,50
Highway to hell,jzy08xcguv4xn7ynyjejih29d,t r a n s p a r e n t s o u l feat. Kid Cudi & Travis Barker - Remix,WILLOW,t r a n s p a r e n t s o u l feat. Kid Cudi & Travis Barker (Remix),199240,38
Highway to hell,jzy08xcguv4xn7ynyjejih29d,Stay Down,Brent Faiyaz,Sonder Son,207325,66
Highway to hell,jzy08xcguv4xn7ynyjejih29d,SUMMER,BROCKHAMPTON,SATURATION II,204939,60
