playlist_name,playlist_owner,track_name,artist,album,duration,popularity
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,On My Own,Lookas,Lucid EP,193384,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Break Them (feat. Anna Yvette),Aero Chord,Break Them (feat. Anna Yvette),259200,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Surface,Aero Chord,Surface,254117,56
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,PLANCK,Baauer,PLANET'S MAD,221173,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Plastic Blue,Taylor Moon,Plastic Blue,294620,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Defqon Bounce,Juelz,High Octane,245312,14
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Don't Come Near Me I Am A Monster,Jackal,Don't Come Near Me I Am A Monster,248000,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Uebok - VIP,Apashe,Renaissance (Remixes),174000,51
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Bleedin' Out,edIT,Come To Grips,223068,33
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,late night drive,Zeds Dead,late night drive,236556,29
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Stardust,Zeds Dead,Northern Lights,258826,38
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Sacrificial,Rezz,Sacrificial,182000,52
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Afterhours feat. Diplo & Nina Sky,TroyBoi,Afterhours feat. Diplo & Nina Sky,275604,56
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,On My Own,TroyBoi,"V!BEZ, Vol. 4",235000,49
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,3AM,Baauer,3AM,191684,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Dojo (feat. TroyBoi),High Klassified,Dojo (feat. TroyBoi),152000,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Hi I'm Max Maco,Two Feet,Max Maco Is Dead Right?,128320,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Enter The World,Juelz,Enter The World,195918,28
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,East Bridge,Hex Cougar,East Bridge,211200,25
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",Skrillex,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",167253,64
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Marinate,MEMBA,Marinate,136097,28
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,play!!-,late year,late year,201071,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,B,Jaden,SYRE,186175,47
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Day Ones,Baauer,Aa,171000,0
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Boom Bap,Lemay,Boom Bap,167862,13
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Show Out,Brodinski,Show Out,104516,14
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,The Greatest,WHIPPED CREAM,The Greatest,225600,31
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Reims,RL Grime,NOVA,235065,40
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Rendering,Juelz,High Octane,233600,20
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,The Change - Just A Gent Remix,What So Not,The Change (Just A Gent Remix),192014,23
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Womp Womp,Valee,Womp Womp,226533,53
ISSATRAP,22auvhdoqxfrv4t7stdgfxqha,Running Away,Taska Black,Running Away,185812,1
