playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Sable Valley - Research,rlgrime,REACTOR,Deadcrow,REACTOR,186000,22
Sable Valley - Research,rlgrime,MINDSHAKER,Deadcrow,REACTOR,228800,21
Sable Valley - Research,rlgrime,EMBERLIGHT,Deadcrow,REACTOR,179200,17
Sable Valley - Research,rlgrime,INTERCEPTOR,Deadcrow,REACTOR,238500,20
Sable Valley - Research,rlgrime,VISIONZ,Deadcrow,REACTOR,201600,24
Sable Valley - Research,rlgrime,SEOUL,Holly,SEOUL,270861,34
Sable Valley - Research,rlgrime,[PLAY™️ APEX],RL Grime,PLAY,23000,13
Sable Valley - Research,rlgrime,Ultrawide,RL Grime,PLAY,210000,49
Sable Valley - Research,rlgrime,NME,RL Grime,PLAY,227200,48
Sable Valley - Research,rlgrime,Zone,RL Grime,PLAY,222720,47
Sable Valley - Research,rlgrime,Jewel,RL Grime,PLAY,246888,50
Sable Valley - Research,rlgrime,Runner,RL Grime,PLAY,336666,48
Sable Valley - Research,rlgrime,Breach,RL Grime,PLAY,255250,46
Sable Valley - Research,rlgrime,Delta,RL Grime,PLAY,204800,46
Sable Valley - Research,rlgrime,[PLAY™️ GRID],RL Grime,PLAY,23000,5
Sable Valley - Research,rlgrime,Keep You (Close),RL Grime,PLAY,166719,50
Sable Valley - Research,rlgrime,Borderline (feat. EMELINE),RL Grime,PLAY,197258,45
Sable Valley - Research,rlgrime,Street Sweeper (feat. 1nonly),RL Grime,PLAY,170000,46
Sable Valley - Research,rlgrime,Lose My Mind (feat. Reo Cragun),RL Grime,PLAY,189197,45
Sable Valley - Research,rlgrime,Slow Dive (feat. Bea Miller),RL Grime,PLAY,228802,46
Sable Valley - Research,rlgrime,Pour Your Heart Out (feat. 070 Shake),RL Grime,PLAY,220273,45
Sable Valley - Research,rlgrime,I Am The Ocean (feat. Noomi),RL Grime,PLAY,219261,45
Sable Valley - Research,rlgrime,[PLAY™️ RUSH],RL Grime,PLAY,23000,4
Sable Valley - Research,rlgrime,I Think I'm Getting Emotional,RL Grime,PLAY,267692,43
Sable Valley - Research,rlgrime,Metro North,RL Grime,PLAY,232837,42
Sable Valley - Research,rlgrime,Push,RL Grime,PLAY,177824,41
