playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Sad vibes,ahadali153,Sunn Raha Hai,Ankit Tiwari,Aashiqui 2,390222,72
Sad vibes,ahadali153,"Baatein Ye Kabhi Na (From ""Khamoshiyan"") - Male",Jeet Gannguli,Yours Truly Arijit,289012,34
Sad vibes,ahadali153,"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]",Jeet Gannguli,Yours Truly Arijit,398799,30
Sad vibes,ahadali153,Samjhawan,Jawad Ahmad,Samjhawan,269184,70
Sad vibes,ahadali153,Humdard,Arijit Singh,Ek Villain,260590,73
Sad vibes,ahadali153,Banjaara,Mohammed Irfan,Ek Villain,336567,68
Sad vibes,ahadali153,Soneya,Asim Azhar,Soneya,247871,47
Sad vibes,ahadali153,Tera Woh Pyar (Nawazishein Karam),Momina Mustehsan,Coke Studio: Season 9,425000,0
Sad vibes,ahadali153,Jo Tu Na Mila,Asim Azhar,Jo Tu Na Mila,234037,70
Sad vibes,ahadali153,Yaad,Asim Azhar,Yaad,270810,51
Sad vibes,ahadali153,"Ghalat Fehmi - From ""Superstar""",Asim Azhar,"Ghalat Fehmi (From ""Superstar"")",286007,63
Sad vibes,ahadali153,Bachana,Bilal Khan,Umeed,216970,44
Sad vibes,ahadali153,Tum Hi Ho,Arijit Singh,Aashiqui 2,261974,75
Sad vibes,ahadali153,O Re Piya,Salim–Sulaiman,Aaja Nachle,379768,73
Sad vibes,ahadali153,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,295157,69
Sad vibes,ahadali153,Kaise Mujhe,Benny Dayal,Love Dose: Benny Dayal,343741,48
Sad vibes,ahadali153,Ajab Si,KK,Om Shanti Om,241668,72
Sad vibes,ahadali153,Jag Soona Soona Lage,Rahat Fateh Ali Khan,Om Shanti Om,329429,58
Sad vibes,ahadali153,Sajdaa,Shankar-Ehsaan-Loy,My Name Is Khan (Original Motion Picture Soundtrack),365706,0
Sad vibes,ahadali153,Shukran Allah,Salim–Sulaiman,Kurbaan (Original Motion Picture Soundtrack),290053,66
Sad vibes,ahadali153,"Banjaara (From ""Ek Villain"")",Mohammed Irfan,Best Of Shraddha Kapoor,336567,67
Sad vibes,ahadali153,"Bulleya (From ""Ae Dil Hai Mushkil"")",Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],348965,67
Sad vibes,ahadali153,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],289333,74
Sad vibes,ahadali153,Aadat,Atif Aslam,Kalyug (Original Motion Picture Soundtrack),333740,51
Sad vibes,ahadali153,Tu Jaane Na,Atif Aslam,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),341933,68
Sad vibes,ahadali153,,,,0,0
Sad vibes,ahadali153,Dil Diyan Gallan,Atif Aslam,YRF Top 10 - Falling in Love,260536,70
Sad vibes,ahadali153,Doorie,Atif Aslam,Doorie,290998,50
Sad vibes,ahadali153,Samjhawan,Jawad Ahmad,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),269184,68
Sad vibes,ahadali153,"Khamoshiyan (From ""Khamoshiyan"")",Jeet Gannguli,Arijit Singh - Ultimate Love Songs,335709,40
Sad vibes,ahadali153,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",Atif Aslam,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",256271,53
Sad vibes,ahadali153,,,,0,0
Sad vibes,ahadali153,Sanam Re,Mithoon,Sanam Re,308714,68
Sad vibes,ahadali153,"Galliyan (From ""Ek Villain"")",Ankit Tiwari,Best Of Shraddha Kapoor,340399,65
Sad vibes,ahadali153,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh,Arijit Singh Broken Strings,264805,51
Sad vibes,ahadali153,Zaroori Tha,Rahat Fateh Ali Khan,Back 2 Love,342023,68
Sad vibes,ahadali153,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],269032,73
