playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Serotonin,spotify,Back On 74,Jungle,Volcano,209482,81
Serotonin,spotify,10%,KAYTRANADA,BUBBA,186680,69
Serotonin,spotify,Relax My Eyes,ANOTR,Relax My Eyes,192150,80
Serotonin,spotify,LONG DISTANCE,Sam Gellaitry,Escapism,219474,49
Serotonin,spotify,JOY (Head To The Sky),Joy Anonymous,JOY (Head To The Sky),230650,55
Serotonin,spotify,Mercy (feat. Jacob Lusk),The Blessed Madonna,Mercy (feat. Jacob Lusk),178242,67
Serotonin,spotify,Tadow,Masego,Lady Lady,301893,74
Serotonin,spotify,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],231545,92
Serotonin,spotify,Rush,Troye Sivan,Rush,156391,88
Serotonin,spotify,West Coast Love,Emotional Oranges,The Juice: Vol. II,215386,65
Serotonin,spotify,adore u,Fred again..,adore u,220653,83
Serotonin,spotify,Safe,camoufly,Apotheosis,163669,42
Serotonin,spotify,Keep It Rising,Supershy,Happy Music,194962,63
Serotonin,spotify,Chemicals,SG Lewis,Chemicals,254871,53
Serotonin,spotify,Lady Love,Oden & Fatzo,Lady Love,174524,59
Serotonin,spotify,Bad Enough (feat. Talie),MAFRO,Bad Enough,242456,46
Serotonin,spotify,Nobody Else Will Do,Anish Kumar,Nobody Else Will Do,213666,49
Serotonin,spotify,Giodisco,LP Giobbi,Giodisco,163250,56
Serotonin,spotify,Damselfly,Loyle Carner,Yesterday's Gone,172653,66
Serotonin,spotify,Funny Thing,Thundercat,It Is What It Is,116630,77
Serotonin,spotify,Free Room (feat. Appleby),Ravyn Lenae,Moon Shoes EP,217013,56
Serotonin,spotify,All Night,ATRIP,TANZPARTEI (Mixtape),214545,51
Serotonin,spotify,Bunny,Tourist,Wild,214853,55
Serotonin,spotify,Girl Like You,Toro y Moi,Boo Boo,223773,48
Serotonin,spotify,Aura,SG Lewis,Dusk,229743,57
Serotonin,spotify,Assumptions,Sam Gellaitry,IV,220838,60
Serotonin,spotify,Borderline,Tame Impala,The Slow Rush,237800,83
Serotonin,spotify,Slipping Away,LEISURE,Sunsetter,235506,67
Serotonin,spotify,Where Angels Fear To Tread,Disclosure,Moonlight,225906,56
Serotonin,spotify,I'm a Kid,Jadu Heart,Melt Away,206500,65
Serotonin,spotify,Quiver,SILK,Quiver,181459,64
Serotonin,spotify,Baby Girl,Disco Lines,Baby Girl,111074,76
Serotonin,spotify,Recap (with VanJess & Channel Tres),Kito,Recap (with VanJess & Channel Tres),177725,50
Serotonin,spotify,Duo,Sam Gellaitry,Duo,126700,51
Serotonin,spotify,Waterfall,Disclosure,Waterfall,232120,64
Serotonin,spotify,Let It Happen - Soulwax Remix,Tame Impala,Currents B-Sides & Remixes,556924,56
Serotonin,spotify,Time,SG Lewis,times,259173,54
Serotonin,spotify,EARFQUAKE - Channel Tres Remix,"Tyler, The Creator",EARFQUAKE (Channel Tres Remix),228250,40
Serotonin,spotify,Still Here (with the ones that I came with),Skrillex,Quest For Fire,312461,53
Serotonin,spotify,Crash and Burn - Edit,49th & Main,Crash and Burn / Said Nothing,90237,47
Serotonin,spotify,"Evian (feat. PinkPantheress, Rizloski & Rax)",GoldLink,HARAM!,128853,55
Serotonin,spotify,Big Bad Mood (feat. Miraa May),Jordan Stephens,Big Bad Mood (feat. Miraa May),229090,43
Serotonin,spotify,Walking On Water (feat. Totally Enormous Extinct Dinosaurs),The Knocks,Walking On Water (feat. Totally Enormous Extinct Dinosaurs),216106,50
Serotonin,spotify,It Runs Through Me,Tom Misch,Geography,261881,69
Serotonin,spotify,Experience,Victoria Monét,Experience,176773,49
Serotonin,spotify,Good Lies,Overmono,Good Lies,160127,56
Serotonin,spotify,Feed The Fire (feat. Lucky Daye),SG Lewis,Feed The Fire (feat. Lucky Daye),245471,46
Serotonin,spotify,Dopamine,Franc Moody,Dance Moves,243945,61
Serotonin,spotify,Keep Moving,Jungle,Loving In Stereo,240880,70
Serotonin,spotify,DO 4 LOVE - Black Coffee Remix,Snoh Aalegra,DO 4 LOVE (Black Coffee Remix),224281,58
