playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Songs like the vrbo ad,the_pranksteryt,The Homeless Wanderer,Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",427840,42
Songs like the vrbo ad,the_pranksteryt,New Shoes,Blue Wednesday,New Shoes,116711,38
Songs like the vrbo ad,the_pranksteryt,Ladyfingers,Herb Alpert & The Tijuana Brass,Whipped Cream & Other Delights,164546,67
Songs like the vrbo ad,the_pranksteryt,Glasshouses,Maribou State,Kingdoms In Colour,225910,59
Songs like the vrbo ad,the_pranksteryt,Mo' Better Blues (feat. Terence Blanchard),Branford Marsalis Quartet,MUSIC FROM MO' BETTER BLUES (feat. Terence Blanchard),218973,44
Songs like the vrbo ad,the_pranksteryt,In the Mood,Glenn Miller,Ultimate Big Band Collection: Glenn Miller,216746,51
Songs like the vrbo ad,the_pranksteryt,Mother's Love,The Vernon Spring,A Plane Over Woods,221253,52
Songs like the vrbo ad,the_pranksteryt,"Homesickness, Pt. 2",Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",193413,48
Songs like the vrbo ad,the_pranksteryt,A Calf Born in Winter,Khruangbin,A Calf Born in Winter,209024,61
Songs like the vrbo ad,the_pranksteryt,Filatelie,Felbm,Tape 3,158169,0
Songs like the vrbo ad,the_pranksteryt,Manila,Maribou State,Portraits Outtakes,192533,63
Songs like the vrbo ad,the_pranksteryt,September - Sped Up - Instrumental,Sparky Deathcap,September (Sped Up),171206,57
Songs like the vrbo ad,the_pranksteryt,Evergreen,Richy Mitch & The Coal Miners,RMCM,87000,84
