playlist_name,playlist_owner,track_name,artist,album,duration,popularity
TB,22auvhdoqxfrv4t7stdgfxqha,Sensual Seduction,Snoop Dogg,Sensual Seduction,245520,58
TB,22auvhdoqxfrv4t7stdgfxqha,"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],252186,76
TB,22auvhdoqxfrv4t7stdgfxqha,Lollipop,Lil Wayne,Tha Carter III,299333,70
TB,22auvhdoqxfrv4t7stdgfxqha,Umbrella,Rihanna,Good Girl Gone Bad: Reloaded,275986,85
TB,22auvhdoqxfrv4t7stdgfxqha,Right Round,Flo Rida,R.O.O.T.S. (Route of Overcoming the Struggle),204640,77
TB,22auvhdoqxfrv4t7stdgfxqha,R.O.O.T.S.,Flo Rida,R.O.O.T.S. (Route of Overcoming the Struggle),225306,36
TB,22auvhdoqxfrv4t7stdgfxqha,In Da Club,50 Cent,Get Rich Or Die Tryin',193466,83
TB,22auvhdoqxfrv4t7stdgfxqha,Crazy,Gnarls Barkley,St. Elsewhere,182066,74
TB,22auvhdoqxfrv4t7stdgfxqha,The Way I Are,Timbaland,Shock Value,179120,83
TB,22auvhdoqxfrv4t7stdgfxqha,Dancin - Krono Remix,Aaron Smith,Ibiza 2019,256000,76
TB,22auvhdoqxfrv4t7stdgfxqha,Tempted To Touch,Rupee,Asafa Powell: Train For Speed,207546,55
TB,22auvhdoqxfrv4t7stdgfxqha,Just A Lil Bit,50 Cent,The Massacre,237706,79
TB,22auvhdoqxfrv4t7stdgfxqha,P.I.M.P.,50 Cent,Get Rich Or Die Tryin',249480,79
TB,22auvhdoqxfrv4t7stdgfxqha,Drop It Like It's Hot,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,266066,77
TB,22auvhdoqxfrv4t7stdgfxqha,Temperature,Sean Paul,The Trinity,218573,82
TB,22auvhdoqxfrv4t7stdgfxqha,Disco Inferno,50 Cent,The Massacre,214226,75
TB,22auvhdoqxfrv4t7stdgfxqha,Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),192600,3
TB,22auvhdoqxfrv4t7stdgfxqha,Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE (Deluxe),243413,69
TB,22auvhdoqxfrv4t7stdgfxqha,Heart Attack,Enrique Iglesias,SEX AND LOVE (Deluxe),170146,37
TB,22auvhdoqxfrv4t7stdgfxqha,Hate It Or Love It,The Game,The Documentary,206400,83
TB,22auvhdoqxfrv4t7stdgfxqha,Crawling,Linkin Park,Hybrid Theory (Bonus Edition),208960,78
TB,22auvhdoqxfrv4t7stdgfxqha,In the End,Linkin Park,Hybrid Theory (Bonus Edition),216880,87
TB,22auvhdoqxfrv4t7stdgfxqha,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",241133,58
TB,22auvhdoqxfrv4t7stdgfxqha,When The Time's Right,Akon,Trouble,224426,0
