playlist_name,playlist_owner,track_name,artist,album,duration,popularity
This Is 50 Cent,spotify,Hate It Or Love It,The Game,The Documentary,206400,83
This Is 50 Cent,spotify,In Da Club,50 Cent,Get Rich Or Die Tryin',193466,83
This Is 50 Cent,spotify,Candy Shop,50 Cent,The Massacre,209106,81
This Is 50 Cent,spotify,Never Enough,Eminem,Encore (Deluxe Version),159786,72
This Is 50 Cent,spotify,How We Do,The Game,The Documentary,235533,77
This Is 50 Cent,spotify,P.I.M.P.,50 Cent,Get Rich Or Die Tryin',249480,79
This Is 50 Cent,spotify,Just A Lil Bit,50 Cent,The Massacre,237706,79
This Is 50 Cent,spotify,Down On Me,Jeremih,All About You,228453,75
This Is 50 Cent,spotify,Hate Bein' Sober,Chief Keef,Finally Rich,280173,75
This Is 50 Cent,spotify,21 Questions,50 Cent,Get Rich Or Die Tryin',224440,76
This Is 50 Cent,spotify,Disco Inferno,50 Cent,The Massacre,214226,75
This Is 50 Cent,spotify,Window Shopper,50 Cent,Window Shopper,192240,71
This Is 50 Cent,spotify,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Shoot For The Stars Aim For The Moon,201600,73
This Is 50 Cent,spotify,Many Men (Wish Death),50 Cent,Get Rich Or Die Tryin',256240,77
This Is 50 Cent,spotify,Crack A Bottle,Eminem,Relapse: Refill,297520,72
This Is 50 Cent,spotify,Ayo Technology,50 Cent,Curtis,247946,70
This Is 50 Cent,spotify,Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,No.6 Collaborations Project,207760,68
This Is 50 Cent,spotify,If I Can't,50 Cent,Get Rich Or Die Tryin',196626,73
This Is 50 Cent,spotify,I'm The Man,50 Cent,I'm The Man,235702,68
This Is 50 Cent,spotify,Is This Love ('09) (feat. 50 Cent),Eminem,Curtain Call 2,212013,67
This Is 50 Cent,spotify,When It Rains It Pours,50 Cent,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,242226,69
This Is 50 Cent,spotify,Si Salimos,Eladio Carrion,3MEN2 KBRN,201535,66
This Is 50 Cent,spotify,Outta Control - Remix,50 Cent,Outta Control,247506,64
This Is 50 Cent,spotify,Hate It Or Love It - G-Unit Remix,50 Cent,The Massacre,263786,66
This Is 50 Cent,spotify,Best Friend,50 Cent,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,251546,68
This Is 50 Cent,spotify,Patiently Waiting,50 Cent,Get Rich Or Die Tryin',288866,65
This Is 50 Cent,spotify,Straight To The Bank,50 Cent,Curtis,190653,63
This Is 50 Cent,spotify,Office Hours (feat. 50 Cent),Nas,Magic 2,232017,62
This Is 50 Cent,spotify,Baby By Me,50 Cent,Before I Self-Destruct,213360,63
This Is 50 Cent,spotify,Bump Heads,Eminem,The Eminem Show (Expanded Edition),281457,61
This Is 50 Cent,spotify,I'll Still Kill,50 Cent,Curtis,223506,62
This Is 50 Cent,spotify,Loyal To The Game,2Pac,Loyal To The Game,203520,61
This Is 50 Cent,spotify,Hustler's Ambition,50 Cent,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,237613,62
This Is 50 Cent,spotify,Westside Story,The Game,The Documentary,223066,62
This Is 50 Cent,spotify,You Don't Know,Eminem,Eminem Presents The Re-Up,257906,62
This Is 50 Cent,spotify,Can't Leave 'Em Alone (feat. 50 Cent),Ciara,The Evolution,244760,63
This Is 50 Cent,spotify,Big Rich Town,50 Cent,Power (Soundtrack from the Starz Original Series),168983,59
This Is 50 Cent,spotify,Rap Game,D12,8 Mile (Music From And Inspired By The Motion Picture),353760,61
This Is 50 Cent,spotify,God Gave Me Style,50 Cent,The Massacre,181720,58
This Is 50 Cent,spotify,Too Rich For The Bitch,50 Cent,Too Rich For The Bitch,181000,58
This Is 50 Cent,spotify,Power Powder Respect,50 Cent,Power Powder Respect,181463,58
This Is 50 Cent,spotify,I Get Money,50 Cent,Curtis,223720,58
This Is 50 Cent,spotify,I'm Supposed To Die Tonight,50 Cent,The Massacre,231026,59
This Is 50 Cent,spotify,Hands Up,Lloyd Banks,Rotten Apple,240213,58
This Is 50 Cent,spotify,9 Shots,50 Cent,9 Shots,133493,56
This Is 50 Cent,spotify,My Life,50 Cent,My Life,239906,56
This Is 50 Cent,spotify,"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)",Uncle Murda,"Get The Strap (feat. Casanova, 6ix9ine & 50 Cent)",190514,59
This Is 50 Cent,spotify,I'll Whip Ya Head Boy,50 Cent,Get Rich Or Die Tryin'- The Original Motion Picture Soundtrack,236413,58
This Is 50 Cent,spotify,Get Up,50 Cent,Get Up,195680,57
This Is 50 Cent,spotify,Mujeres In The Club,Wisin & Yandel,La Revolucion,243013,53
