playlist_name,playlist_owner,track_name,artist,album,duration,popularity
This Is Bizarrap,spotify,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap,"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",191254,83
This Is Bizarrap,spotify,BABY HELLO,Rauw Alejandro,BABY HELLO,222461,86
This Is Bizarrap,spotify,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,"Peso Pluma: Bzrp Music Sessions, Vol. 55",188361,89
This Is Bizarrap,spotify,Remember Me,Duki,Remember Me,170624,72
This Is Bizarrap,spotify,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,"L-Gante: Bzrp Music Sessions, Vol. 38",192347,71
This Is Bizarrap,spotify,"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap,"Villano Antillano: Bzrp Music Sessions, Vol. 51",187500,75
This Is Bizarrap,spotify,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",198937,89
This Is Bizarrap,spotify,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",171215,70
This Is Bizarrap,spotify,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",177442,69
This Is Bizarrap,spotify,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,"Nicky Jam: Bzrp Music Sessions, Vol. 41",158086,67
This Is Bizarrap,spotify,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",143291,71
This Is Bizarrap,spotify,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,"Tiago PZK: Bzrp Music Sessions, Vol. 48",160000,78
This Is Bizarrap,spotify,"Arcángel: Bzrp Music Sessions, Vol. 54",Bizarrap,"Arcángel: Bzrp Music Sessions, Vol. 54",223019,75
This Is Bizarrap,spotify,"Ptazeta: Bzrp Music Sessions, Vol. 45",Bizarrap,"Ptazeta: Bzrp Music Sessions, Vol. 45",161485,67
This Is Bizarrap,spotify,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",164895,79
This Is Bizarrap,spotify,"Paulo Londra: Bzrp Music Sessions, Vol. 23",Bizarrap,"Paulo Londra: Bzrp Music Sessions, Vol. 23",258540,69
This Is Bizarrap,spotify,"Duki: Bzrp Music Sessions, Vol. 50",Bizarrap,"Duki: Bzrp Music Sessions, Vol. 50",221303,72
This Is Bizarrap,spotify,"Dani Ribba: Bzrp Music Sessions, Vol. 24",Bizarrap,"Dani Ribba: Bzrp Music Sessions, Vol. 24",173251,64
This Is Bizarrap,spotify,"Morad: Bzrp Music Sessions, Vol. 47",Bizarrap,"Morad: Bzrp Music Sessions, Vol. 47",177583,70
This Is Bizarrap,spotify,"Trueno: Bzrp Freestyle Sessions, Vol. 6",Bizarrap,"Trueno: Bzrp Freestyle Sessions, Vol. 6",199391,66
This Is Bizarrap,spotify,"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,"Aleman: Bzrp Music Sessions, Vol. 15",174178,70
This Is Bizarrap,spotify,Quédate - Tiësto Remix,Bizarrap,Quédate (Tiësto Remix),232498,66
This Is Bizarrap,spotify,"Residente: Bzrp Music Sessions, Vol. 49",Bizarrap,"Residente: Bzrp Music Sessions, Vol. 49",519289,65
This Is Bizarrap,spotify,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945,87
This Is Bizarrap,spotify,"Anuel AA: Bzrp Music Sessions, Vol. 46",Bizarrap,"Anuel AA: Bzrp Music Sessions, Vol. 46",201507,65
This Is Bizarrap,spotify,"Frijo: Bzrp Music Sessions, Vol. 10",Bizarrap,"Frijo: Bzrp Music Sessions, Vol. 10",130912,65
This Is Bizarrap,spotify,"Cazzu: Bzrp Music Sessions, Vol. 32",Bizarrap,"Cazzu: Bzrp Music Sessions, Vol. 32",146106,61
This Is Bizarrap,spotify,Mamichula - con Nicki Nicole,Trueno,Atrevido,219201,77
This Is Bizarrap,spotify,Malbec,Duki,Desde el Fin del Mundo,175890,71
This Is Bizarrap,spotify,"YSY A: Bzrp Music Sessions, Vol. 37",Bizarrap,"YSY A: Bzrp Music Sessions, Vol. 37",156656,62
This Is Bizarrap,spotify,3 Estrellas en el Conjunto,Bizarrap,3 Estrellas en el Conjunto,276774,61
This Is Bizarrap,spotify,"John C: Bzrp Music Sessions, Vol. 18",Bizarrap,"John C: Bzrp Music Sessions, Vol. 18",133691,58
This Is Bizarrap,spotify,Bottas,Arcángel,Sr. Santos,208845,65
This Is Bizarrap,spotify,"Trueno: Bzrp Music Sessions, Vol. 16",Bizarrap,"Trueno: Bzrp Music Sessions, Vol. 16",158983,62
This Is Bizarrap,spotify,"Kiddo Toto: Bzrp Music Sessions, Vol. 11",Bizarrap,"Kiddo Toto: Bzrp Music Sessions, Vol. 11",143376,55
This Is Bizarrap,spotify,"Big Soto: Bzrp Music Sessions, Vol. 28",Bizarrap,"Big Soto: Bzrp Music Sessions, Vol. 28",160285,56
This Is Bizarrap,spotify,Flexin',LIT killah,Flexin',179383,61
This Is Bizarrap,spotify,YaMeFui,Bizarrap,YaMeFui,182594,68
This Is Bizarrap,spotify,"Zaramay: Bzrp Music Sessions, Vol. 31",Bizarrap,"Zaramay: Bzrp Music Sessions, Vol. 31",219545,61
This Is Bizarrap,spotify,"C.R.O: Bzrp Music Sessions, Vol. 29",Bizarrap,"C.R.O: Bzrp Music Sessions, Vol. 29",146341,68
This Is Bizarrap,spotify,"Mesita: Bzrp Music Sessions, Vol. 12",Bizarrap,"Mesita: Bzrp Music Sessions, Vol. 12",170723,56
This Is Bizarrap,spotify,"Lit Killah: Bzrp Freestyle Sessions, Vol. 3",Bizarrap,"Lit Killah: Bzrp Freestyle Sessions, Vol. 3",183553,51
This Is Bizarrap,spotify,"HOMER EL MERO MERO: Bzrp Music Sessions, Vol. 30",Bizarrap,"HOMER EL MERO MERO: Bzrp Music Sessions, Vol. 30",181458,56
This Is Bizarrap,spotify,"Don Patricio: Bzrp Music Sessions, Vol. 25",Bizarrap,"Don Patricio: Bzrp Music Sessions, Vol. 25",155964,58
This Is Bizarrap,spotify,"Asan: Bzrp Music Sessions, Vol. 35",Bizarrap,"Asan: Bzrp Music Session, Vol. 35",154181,58
This Is Bizarrap,spotify,Unfollow,Duki,Unfollow,196727,59
This Is Bizarrap,spotify,Verte,Nicki Nicole,Verte,157418,62
This Is Bizarrap,spotify,"KHEA: Bzrp Music Sessions, Vol. 34",Bizarrap,"KHEA: Bzrp Music Sessions, Vol. 34",198703,63
This Is Bizarrap,spotify,Plegarias,Bizarrap,Recuerdos,198850,64
This Is Bizarrap,spotify,Sin Frenos,Eladio Carrion,Sauce Boyz 2,211394,73
This Is Bizarrap,spotify,"Dillom: Bzrp Music Sessions, Vol. 9",Bizarrap,"Dillom: Bzrp Music Sessions, Vol. 9",151843,61
This Is Bizarrap,spotify,"Polimá Westcoast: Bzrp Music Sessions, Vol. 19",Bizarrap,"Polimá Westcoast: Bzrp Music Sessions, Vol. 19",150000,48
This Is Bizarrap,spotify,"Neutro Shorty: Bzrp Music Sessions, Vol. 21",Bizarrap,"Neutro Shorty: Bzrp Music Sessions, Vol. 21",157475,56
This Is Bizarrap,spotify,"Lalo Ebratt: Bzrp Music Sessions, Vol. 22",Bizarrap,"Lalo Ebratt: Bzrp Music Sessions, Vol. 22",152304,47
This Is Bizarrap,spotify,Dangerous,Nicki Nicole,Parte de Mí,159967,60
This Is Bizarrap,spotify,"Lucho SSJ: Bzrp Music Sessions, Vol. 26",Bizarrap,"Lucho SSJ: Bzrp Music Sessions, Vol. 26",142703,51
This Is Bizarrap,spotify,"Like Boss - Remix (feat. Duki, Bizarrap, Akapellah, Polima Westcoast, Moonkey, Zanto, Santoz)",Frijo,"Like Boss (Remix) (feat. Duki, Bizarrap, Akapellah, Moonkey, Polima Westcoast, Santoz, Zanto)",362281,52
