playlist_name,playlist_owner,track_name,artist,album,duration,popularity
This Is J. Cole,spotify,No Role Modelz,J. Cole,2014 Forest Hills Drive,292799,89
This Is J. Cole,spotify,All My Life (feat. J. Cole),Lil Durk,All My Life (feat. J. Cole),223878,84
This Is J. Cole,spotify,on the street (with J. Cole),j-hope,on the street (with J. Cole),214701,78
This Is J. Cole,spotify,MIDDLE CHILD,J. Cole,MIDDLE CHILD,213593,83
This Is J. Cole,spotify,Wet Dreamz,J. Cole,2014 Forest Hills Drive,239266,85
This Is J. Cole,spotify,Work Out,J. Cole,Cole World: The Sideline Story,235320,83
This Is J. Cole,spotify,m y . l i f e (with 21 Savage & Morray),J. Cole,The Off-Season,218801,79
This Is J. Cole,spotify,"To Summer, From Cole - Audio Hug",Summer Walker,CLEAR 2: SOFT LIFE EP,147666,74
This Is J. Cole,spotify,Love Yourz,J. Cole,2014 Forest Hills Drive,211496,78
This Is J. Cole,spotify,Power Trip (feat. Miguel),J. Cole,Born Sinner (Deluxe Version),241160,79
This Is J. Cole,spotify,a m a r i,J. Cole,The Off-Season,148421,74
This Is J. Cole,spotify,Kevin’s Heart,J. Cole,KOD,200309,75
This Is J. Cole,spotify,Pretty Little Fears (feat. J. Cole),6LACK,East Atlanta Love Letter,240341,74
This Is J. Cole,spotify,Neighbors,J. Cole,4 Your Eyez Only,216520,74
This Is J. Cole,spotify,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,The Off-Season,218210,75
This Is J. Cole,spotify,Under The Sun (with J. Cole & Lute feat. DaBaby),Dreamville,Revenge Of The Dreamers III,202040,75
This Is J. Cole,spotify,She Knows (feat. Amber Coffman & Cults),J. Cole,Born Sinner (Deluxe Version),296520,78
This Is J. Cole,spotify,All I Want Is You (feat. J. Cole),Miguel,All I Want Is You,295920,74
This Is J. Cole,spotify,There I Go (feat. J. Cole & Mike WiLL Made-It),Gucci Mane,There I Go (feat. J. Cole & Mike WiLL Made-It),172375,73
This Is J. Cole,spotify,G.O.M.D,J. Cole,2014 Forest Hills Drive,301064,74
This Is J. Cole,spotify,Deja Vu,J. Cole,4 Your Eyez Only,264746,72
This Is J. Cole,spotify,Can't Get Enough,J. Cole,Cole World: The Sideline Story,225960,70
This Is J. Cole,spotify,Adonis Interlude (The Montage) (with J. Cole),Dreamville,Creed III: The Soundtrack,95902,68
This Is J. Cole,spotify,Apparently,J. Cole,2014 Forest Hills Drive,292865,70
This Is J. Cole,spotify,i n t e r l u d e,J. Cole,The Off-Season,133021,68
This Is J. Cole,spotify,Crooked Smile (feat. TLC),J. Cole,Born Sinner (Deluxe Version),278573,71
This Is J. Cole,spotify,Planez,Jeremih,Late Nights: The Album,240320,70
This Is J. Cole,spotify,Nobody's Perfect,J. Cole,Cole World: The Sideline Story,190653,68
This Is J. Cole,spotify,Thanks (feat. J. Cole),Burna Boy,I Told Them...,216101,65
This Is J. Cole,spotify,Your Heart,Joyner Lucas,Your Heart,198620,67
This Is J. Cole,spotify,Come Through and Chill (feat. J. Cole & Salaam Remi),Miguel,War & Leisure,322000,68
This Is J. Cole,spotify,In The Morning,J. Cole,Cole World: The Sideline Story,234386,69
This Is J. Cole,spotify,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),Dreamville,Revenge Of The Dreamers III,382306,69
This Is J. Cole,spotify,Shea Butter Baby (with J. Cole),Ari Lennox,Shea Butter Baby,211610,65
This Is J. Cole,spotify,She's Mine Pt. 1,J. Cole,4 Your Eyez Only,209080,67
This Is J. Cole,spotify,January 28th,J. Cole,2014 Forest Hills Drive,242697,67
This Is J. Cole,spotify,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,Revenge Of The Dreamers III,169146,67
This Is J. Cole,spotify,Tribe (with J. Cole),Bas,Milky Way,238053,67
This Is J. Cole,spotify,Passport Bros (with J. Cole),Bas,Passport Bros (with J. Cole),164551,67
This Is J. Cole,spotify,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,The Off-Season,266291,67
This Is J. Cole,spotify,Heaven’s EP (with J. Cole),Dreamville,D-Day: A Gangsta Grillz Mixtape,178291,64
This Is J. Cole,spotify,The London (feat. J. Cole & Travis Scott),Young Thug,The London (feat. J. Cole & Travis Scott),200106,68
This Is J. Cole,spotify,Change,J. Cole,4 Your Eyez Only,331480,67
This Is J. Cole,spotify,p u n c h i n ‘ . t h e . c l o c k,J. Cole,The Off-Season,112578,63
This Is J. Cole,spotify,90 Proof (with J. Cole),Smino,Luv 4 Rent,208269,63
This Is J. Cole,spotify,KOD,J. Cole,KOD,191436,67
This Is J. Cole,spotify,Snow On Tha Bluff,J. Cole,Snow On Tha Bluff,235480,65
This Is J. Cole,spotify,Forbidden Fruit (feat. Kendrick Lamar),J. Cole,Born Sinner (Deluxe Version),268666,67
This Is J. Cole,spotify,Ville Mentality,J. Cole,4 Your Eyez Only,194346,64
This Is J. Cole,spotify,Johnny P's Caddy,Benny The Butcher,Tana Talk 4,225000,63
