playlist_name,playlist_owner,track_name,artist,album,duration,popularity
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Homesickness, Pt. 2",Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",193413,48
VRBO,22h3ytbsiemynrmwzn2g5hh4a,Mother's Love,Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",219146,43
VRBO,22h3ytbsiemynrmwzn2g5hh4a,The Mad Man's Laughter,Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",237613,35
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 2, L. 123 - Arr. Dan Golding: Hommage à S. Pickwick Esq. P.P.M.P.C. (Break The Broom)",Claude Debussy,Untitled Goose Game (Original Soundtrack),206022,17
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Homesickness, Pt. 1",Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",231880,42
VRBO,22h3ytbsiemynrmwzn2g5hh4a,Misty,Erroll Garner,Plays Misty,171000,50
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 1, L. 117 - Arr. Dan Golding: Minstrels",Claude Debussy,Untitled Goose Game (Original Soundtrack),147512,28
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 2, L. 123 - Arr. Dan Golding: Feux d'artifice",Claude Debussy,Untitled Goose Game (Original Soundtrack),264724,18
VRBO,22h3ytbsiemynrmwzn2g5hh4a,loving is not what it seems,Tea Afterparty,loving is not what it seems,130951,50
VRBO,22h3ytbsiemynrmwzn2g5hh4a,A Young Girl's Complaint,Emahoy Tsege Mariam Gebru,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",370666,34
VRBO,22h3ytbsiemynrmwzn2g5hh4a,Tezeta (Nostalgia),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",376640,54
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 2, L. 123 - Arr. Dan Golding: Hommage à S. Pickwick Esq. P.P.M.P.C.",Claude Debussy,Untitled Goose Game (Original Soundtrack),119774,20
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 1, L. 117 - Arr. Dan Golding: Les collines d'Anacapri",Claude Debussy,Untitled Goose Game (Original Soundtrack),193554,20
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 1, L. 117 - Arr. Dan Golding: Minstrels (Rake In The Lake)",Claude Debussy,Untitled Goose Game (Original Soundtrack),278546,18
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 2, L. 123 - Arr. Dan Golding: Feux d'artifice (Steal The Beautiful Miniature Golden Bell)",Claude Debussy,Untitled Goose Game (Original Soundtrack),468159,16
VRBO,22h3ytbsiemynrmwzn2g5hh4a,"Préludes / Book 2, L. 123: Bruyères (Menu)",Claude Debussy,Untitled Goose Game (Original Soundtrack),176961,23
VRBO,22h3ytbsiemynrmwzn2g5hh4a,Soft Meadow,Green-House,Six Songs for Invisible Gardens,328000,45
VRBO,22h3ytbsiemynrmwzn2g5hh4a,Wyoming,Elijah Fox,Wyoming,82709,56
