playlist_name,playlist_owner,track_name,artist,album,duration,popularity
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Missed,Mikebøi,Missed,212144,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,surface,San Holo,album1 coming 9/21,362179,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Let You Know,Flume,Let You Know,199579,57
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Awake,IHF,Awake,206319,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Firehazard,Syence,Firehazard,189666,18
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,No Quit,Michael Nau,No Quit,193520,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,After Party,French 79,Olympic,327306,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Steele,Devault,Stay,263158,19
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Stay (feat. Njomza & Bipolar Sunshine),Devault,Stay,291450,38
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Me No Evil,Abhi The Nomad,Me No Evil,165441,22
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,BTFL,Abhi The Nomad,BTFL,183389,12
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,RUN,Abhi The Nomad,RUN,166559,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Shoe Size 14,Taizu,Shoe Size 14,147110,2
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Hard Currency,Information Society,Hack,153733,0
YouTube Picks,22auvhdoqxfrv4t7stdgfxqha,Practice,Taizu,ZU,158551,2
