playlist_name,playlist_owner,track_name,artist,album,duration,popularity
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Visit Me,Mogwai,ZEROZEROZERO,160546,39
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,I'm Not Going When I Don't Get Back,Mogwai,ZEROZEROZERO,147760,28
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Let's Get Lost,Chet Baker,Chet Baker Sings And Plays (Remastered 2004),223706,55
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Sirinata,Peppe Larizza,Jamu luntanu,303565,3
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Telt,Mogwai,ZEROZEROZERO,114613,36
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Chicken Guns,Mogwai,ZEROZEROZERO,288733,19
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Love,Aïda Samb,Woyalama,255500,14
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Sama Nijaay,Pape Diouf,Enjoy,328312,7
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Nose Pints,Mogwai,ZEROZEROZERO,124226,26
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Fears of Metal,Mogwai,ZEROZEROZERO,157480,27
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Bul ko sank,Aïda Samb,Woyalama,265250,28
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Fritada de Cumbia,Skeewiff feat. Rayna,Ghetto Latin & Broken Ballroom,252640,5
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Space Annual,Mogwai,ZEROZEROZERO,81880,19
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Invisible Frequencies,Mogwai,ZEROZEROZERO,173826,19
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Moon In Reverse,Mogwai,ZEROZEROZERO,241453,19
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Don't make me Go Out on My Own,Mogwai,ZEROZEROZERO,195906,20
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Lesser Glasgow,Mogwai,ZEROZEROZERO,258280,20
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Frog Marching,Mogwai,ZEROZEROZERO,243160,18
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,El Dante,Mogwai,ZEROZEROZERO,228186,17
ZeroZeroZero (Sky Atlantic: Original Television Soundtrack),lr3ursgxqfh7dxicg7n5taxv5,Major Treat,Mogwai,ZEROZEROZERO,135546,18
