playlist_name,playlist_owner,track_name,artist,album,duration,popularity
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Maya,Prabh Deep,Maya,274424,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Aisay Kaisay,Hasan Raheem,Aisay Kaisay,198857,62
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Paas,Hasan Raheem,Paas,180540,29
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Shamshaan,Maya,Shamshaan,149532,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,ELAAN,Ahmer,"Little Kid, Big Dreams",287384,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Zor,Ahmer,Zor,202500,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Northside,Sikander Kahlon,PRE SK,318043,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Kya Kahun,Hasan Raheem,Kya Kahun,203893,25
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Saada,Hasan Raheem,Saada,246666,27
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Azaad Hu Mein,Yashraj,Azaad Hu Mein,176043,24
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Ateet,Prabh Deep,Ateet,260604,15
brown_flows,22auvhdoqxfrv4t7stdgfxqha,K.O.,Prabh Deep,K.O.,90703,21
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Chitta,Prabh Deep,Chitta,208571,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Baat Bangayi,Rawal,Sab Chahiye,210000,46
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Mhmm,Karun,Mhmm,186017,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Khoyo,Tech Panda,Khoyo,232806,37
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Doya,Tech Panda,Doya,204000,34
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Fame,Fateh,Bring It Home,229614,30
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Freak (feat. Jay Sean & Juggy D),Rishi Rich Project,Freak (feat. Jay Sean & Juggy D),174453,39
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Back to Start,Asim Riaz,Back to Start,131500,22
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Tofa,Prabh Deep,Tofa,232941,25
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Champagne,Diljit Dosanjh,MoonChild Era,182000,60
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Luna,Diljit Dosanjh,MoonChild Era,186000,53
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Clash,Diljit Dosanjh,G.O.A.T.,176385,62
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Jeenedo,Nanku,Nanku Sharma,220317,38
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Kaafizyada,Nanku,Nanku Sharma,164307,49
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Saladin,Ahmer,Saladin,206840,7
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Bichda,Frequency Time Space,Bhatku,202135,18
brown_flows,22auvhdoqxfrv4t7stdgfxqha,DLL,Yashraj,DLL,144375,50
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Aaja Na,Teesri Duniya,Aaja Na,320333,28
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Aaina,AFKAP,Aaina,180618,54
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Nikamma,Lifafa,Jaago,211787,44
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Bachana,Bilal Khan,Umeed,216970,44
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Insane,AP Dhillon,Insane,206060,75
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Liggi,Ritviz,Liggi,181176,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Brown Munde,AP Dhillon,Brown Munde,254400,75
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Heeriye,Karun,Heeriye,194586,44
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Dooba,Nanku,Dooba,283692,41
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Tu Aake Dekhle,King,The Carnival,270000,50
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Gumm,MC Heam,Gumm,171360,25
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Woh,MC Heam,Woh,166610,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Tu Hai Kaun,G16,Tu Hai Kaun,215486,27
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Wish You Were Here,Frappe Ash,Bet You Know,280000,41
brown_flows,22auvhdoqxfrv4t7stdgfxqha,RUKH,Ahmer,RUKH,149538,16
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Ajeeb,Ahmer,Ajeeb,148700,4
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Gallan 4,Talwiinder,Gallan 4,192496,0
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Dhundhala,Yashraj,Dhundhala,182400,75
brown_flows,22auvhdoqxfrv4t7stdgfxqha,G.O.A.T.,Diljit Dosanjh,G.O.A.T.,223636,66
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Kush Ta Banuga,Sikander Kahlon,PRE SK,237485,14
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Adhura,DAKU,Adhura,191270,36
brown_flows,22auvhdoqxfrv4t7stdgfxqha,aadhi raati,KASHNI,Ishq Hai (a love letter),176551,5
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Khush,Tarun.,Pehlu,190269,19
brown_flows,22auvhdoqxfrv4t7stdgfxqha,Kaali Maserati,Sammad,Kaali Maserati,121057,19
