playlist_name,playlist_owner,track_name,artist,album,duration,popularity
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Haïku,Messire,Someday,172173,2
chilly willy,22auvhdoqxfrv4t7stdgfxqha,VERONA,Lastlings,UNREALITY,268173,27
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Young Blood,Noah Kahan,Young Blood,208853,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,I Won't Fight It,Andrew Belle,Black Bear,331106,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Bloodstream,Stateless,Stateless,313800,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,I Found,Amber Run,Pilot EP,274226,55
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Cherry,Moose Blood,"I'll Keep You In Mind, From Time to Time",159711,49
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Big Jet Plane,Angus & Julia Stone,Down The Way,239120,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Old Pine,Ben Howard,Every Kingdom (Deluxe Version),328506,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,You're Somebody Else,flora cash,You're Somebody Else,218883,72
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Bloodstream - Quartet Session,Stateless,I'm On Fire,301901,36
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Wait,M83,"Hurry Up, We're Dreaming",343253,63
chilly willy,22auvhdoqxfrv4t7stdgfxqha,"it's ok, you're ok",Bonjr,"it's ok, you're ok",215510,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Stars,Sam Airey,In Darkened Rooms,322680,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Adrift,Reddening West,Deltas,221106,2
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Time,Kidswaste,Spleen,274668,21
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Begin (feat. Wales),Shallou,Begin (feat. Wales),242859,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Dear Lillie,Aether,Together by the Spirit Tree,236575,34
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Catharsis,Aether,Viraha,245613,53
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Free,Kidswaste,Free,253857,41
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Little Lover,Nick Broadhurst,Little Lover,239794,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Barcelona,George Ezra,Wanted on Voyage,188960,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Sleeping Inside,Lilium,Transmissions of All the Goodbyes,207480,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Chihiro,Yoste,Chihiro (Remixes),212963,49
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Who We Want to Be,Tom Day,2012,395294,45
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Fading,Vallis Alps,Fading,280055,0
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Heartbeats (feat. Ester Adele) (feat. Ester Adele),Autolaser,Heartbeats (feat. Ester Adele) (feat. Ester Adele),237446,30
chilly willy,22auvhdoqxfrv4t7stdgfxqha,Wolfe,Brolly,Wolfe,328261,11
