playlist_name,playlist_owner,track_name,artist,album,duration,popularity
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,Aglow (Intro) (Sped Up),Karamel Kel,Aglow (Intro) (Sped Up),115437,53
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,never see you again,Antent,never see you again,148000,54
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,distant,Øneheart,distant,113684,58
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,desolation,Reapify,desolation,184400,45
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,promise,alixe.,promise,129600,29
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,madeleine,insensible,madeleine,132420,28
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,Transition,Robot Koch,Transition,157714,35
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,night light,castle hearts,night light,161414,29
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,next to you (Sped Up),Øneheart,next to you (Remixes),110250,45
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,slow dancing in the rain,Inan,slow dancing in the rain,144516,29
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,anesthesia,hiræth,anesthesia,117913,27
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,it's going to be alright,alixe.,it's going to be alright,141166,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,"again,",my head is empty,"again,",122000,30
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,sentient,Etsu,sentient,204356,31
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,next to you,Øneheart,next to you,123750,57
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,polaroid,hiræth,polaroid,144782,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,midwich,castle hearts,midwich,130190,37
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,memory,entris,memory,171455,37
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,Safe In The Dark,Robot Koch,Safe In The Dark,150500,41
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,starlights,.diedlonely,among the stars,99000,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,the storm is over.,Leyona Music,the storm is over.,179200,36
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,among the stars,.diedlonely,among the stars,88620,36
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,nothing,Blocktane,nothing,147857,35
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,unconscious,.diedlonely,among the stars,96000,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,i see dead people,my head is empty,i see dead people,137614,39
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,fever dream,.diedlonely,among the stars,149543,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,ethereal kid,hozuki,ethereal kid,274549,39
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,homesick,my head is empty,familiars,75789,40
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,blueberry,hiræth,blueberry,155675,39
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,haven,my head is empty,familiars,77142,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,reflection,.diedlonely,reflection,117340,40
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,cats,my head is empty,familiars,75112,40
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,nevermind,die together in venus,nevermind,115515,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,why cant anything just work,my head is empty,familiars,87744,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,fragile,énouement,fragile,108521,37
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,what r u looking 4,my head is empty,familiars,131729,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,riverdale,Layanari,riverdale,134400,37
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,Mind Off,Robot Koch,Mind Off,191111,40
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,sequel,Ybyrayy,sequel,68000,39
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,agony,hozuki,agony,216216,39
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,don't cry,Senn,don't cry,145035,51
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,fading into nothingness,Aurenth,fading into nothingness,113615,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,bloom,oversly,bloom,110270,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,take care of yourself,Layanari,take care of yourself,156363,38
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,Vibrance,MIRAJ,Vibrance,128006,37
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,leaving,my head is empty,leaving,90251,40
dark electronic music,9rn7brfa1vc5yomz3r115w8kf,comet,my head is empty,comet,149310,42
