playlist_name,playlist_owner,track_name,artist,album,duration,popularity
daydream,sushrutaa,Take Care Of You,Saje,Take Care Of You,237999,41
daydream,sushrutaa,Smile,Leven Kali,Smile,218050,49
daydream,sushrutaa,Chamber Of Reflection,Mac DeMarco,Salad Days,231720,60
daydream,sushrutaa,My Jinji,落日飛車 Sunset Rollercoaster,JINJI KIKKO,400560,0
daydream,sushrutaa,Humming Man,Men I Trust,Humming Man,174782,45
daydream,sushrutaa,"Moodna, Once With Grace",Gus Dapperton,"Moodna, Once With Grace",198014,0
daydream,sushrutaa,We're Not Just Friends,"Parks, Squares and Alleys",We're Not Just Friends,187820,49
daydream,sushrutaa,Mauvais présage,Requin Chagrin,Sémaphore,340880,38
daydream,sushrutaa,Hot Rod,Dayglow,Fuzzybrain,204014,0
daydream,sushrutaa,Birds Dont Sing,TV Girl,French Exit,209346,0
daydream,sushrutaa,Six Speed,Current Blue,Six Speed,120000,60
daydream,sushrutaa,Sometimes,Goth Babe,Sometimes,262736,60
daydream,sushrutaa,Casio,Jungle,For Ever,234369,0
daydream,sushrutaa,Sémaphore,Requin Chagrin,Sémaphore,234853,19
daydream,sushrutaa,Lover Is a Day,Cuco,wannabewithu,456000,2
daydream,sushrutaa,affection,BETWEEN FRIENDS,u can still come over,235225,0
daydream,sushrutaa,Peach Pit,Peach Pit,Sweet FA,287080,61
daydream,sushrutaa,Shuffle,Bombay Bicycle Club,A Different Kind Of Fix,235293,62
daydream,sushrutaa,Eclipse,Inner Wave,Eclipse,183633,0
daydream,sushrutaa,Call Me In The Afternoon,Half Moon Run,Spotify Sessions,193240,0
daydream,sushrutaa,Chateau,Angus & Julia Stone,Chateau,273533,0
daydream,sushrutaa,Treat Her Better,Mac DeMarco,Salad Days,229120,0
daydream,sushrutaa,Just Like My,HOMESHAKE,Just Like My,208066,0
daydream,sushrutaa,Choking on Flowers,Fox Academy,Elsie,208848,0
daydream,sushrutaa,instagram,DEAN,instagram,255728,67
daydream,sushrutaa,Wait,Billy Lemos,Wait,182403,0
daydream,sushrutaa,Blue Boy,Mac DeMarco,Salad Days,126223,0
daydream,sushrutaa,Beat 54 (All Good Now),Jungle,For Ever,246815,0
daydream,sushrutaa,Cherry Cola,Kuwada,Cherry Cola,184360,58
daydream,sushrutaa,Salad Days,Mac DeMarco,Salad Days,145893,0
daydream,sushrutaa,Skiptracing,Mild High Club,Skiptracing,219646,0
daydream,sushrutaa,Will He (Medasin Remix),Joji,In Tongues (Deluxe),222147,48
daydream,sushrutaa,Can I Call You Tonight?,Dayglow,Fuzzybrain,278769,0
daydream,sushrutaa,Mantra,BOYO,Golden Days (B-Sides),144000,0
daydream,sushrutaa,Seventeen,Peach Pit,Sweet FA,216426,56
daydream,sushrutaa,Vanilla,落日飛車 Sunset Rollercoaster,VANILLA VILLA,151282,0
daydream,sushrutaa,Villa,落日飛車 Sunset Rollercoaster,VANILLA VILLA,161803,0
daydream,sushrutaa,Mind,chrms,Mind,244375,3
daydream,sushrutaa,Hanoï café,Bleu Toucan,Origami,194082,0
daydream,sushrutaa,Where the Money Flows,Peter Cat Recording Co.,Bismillah,313266,0
daydream,sushrutaa,Till You Sink,MOSSS,Till You Sink,230210,30
daydream,sushrutaa,Dream Boat,Banes World,Drowsy,135720,0
daydream,sushrutaa,Dew ♥ - Lo-Fi Version,PYNKIE,Dew ♥ (Lo-Fi Version),220193,29
daydream,sushrutaa,Teenage Blue,Dreamgirl,Illuminaughty - EP,234968,0
daydream,sushrutaa,Business Cycles,Kid Hastings,Business Cycles,245853,0
daydream,sushrutaa,You Broke My Heart,Current Joys,Wild Heart,428040,0
daydream,sushrutaa,Go Easy,Mac DeMarco,Salad Days,204906,27
daydream,sushrutaa,Cooks,Still Woozy,Cooks,174105,0
daydream,sushrutaa,waves - Tame Impala Remix,Miguel,Rogue Waves,253346,66
daydream,sushrutaa,Everytime,boy pablo,Roy Pablo,172941,64
daydream,sushrutaa,Seven,Men I Trust,Seven,225394,64
daydream,sushrutaa,Sink into the Floor,Feng Suave,Feng Suave,281054,58
daydream,sushrutaa,"Heavy, California",Jungle,For Ever,184599,0
daydream,sushrutaa,Unbothered,Omar Apollo,Unbothered,124954,0
daydream,sushrutaa,Cherry,Jungle,For Ever,196138,0
daydream,sushrutaa,Italy,Good Posture,Italy,330000,30
daydream,sushrutaa,Lovely,Stefan Jameson,Lovely,149243,0
daydream,sushrutaa,B Cool (feat. Melanie Faye),Magroove,B Cool (feat. Melanie Faye),199245,42
daydream,sushrutaa,Lava,Still Woozy,Lately EP,157303,0
daydream,sushrutaa,Freaking Out the Neighborhood,Mac DeMarco,2,173888,0
daydream,sushrutaa,U​ ​Never​ ​Call​ ​Me,Jadu Heart,U​ ​Never​ ​Call​ ​Me,218000,31
daydream,sushrutaa,Ugotme,Omar Apollo,Ugotme,127272,0
daydream,sushrutaa,Colours,Goth Babe,Smith Rock,182857,54
daydream,sushrutaa,Daytrip,STEPHAN,Daytrip,144857,45
daydream,sushrutaa,Portrait of a Time,Peter Cat Recording Co.,Portrait of a Time: 2010-2016,352320,0
daydream,sushrutaa,Head in the Clouds,Hot Flash Heat Wave,Head in the Clouds,239659,30
daydream,sushrutaa,moonlight,Jayomi,wet burrito,213043,21
daydream,sushrutaa,Applesauce,sam.sts,Applesauce,201610,0
daydream,sushrutaa,Weekend Friend,Goth Babe,Weekend Friend,209454,69
daydream,sushrutaa,Chinese New Year,SALES,Chinese New Year,160000,68
daydream,sushrutaa,Yam Yam,No Vacation,Yam Yam,216038,0
daydream,sushrutaa,the one,slenderbodies,soraya,175173,37
daydream,sushrutaa,Change Your Mind,CASTLEBEAT,CASTLEBEAT,297272,50
daydream,sushrutaa,Stay With Us,Seoul,I Become A Shade,237945,41
daydream,sushrutaa,Car Camping,Goth Babe,Point Mugu,267130,44
daydream,sushrutaa,Fly Out West,Yot Club,Fly Out West,174250,0
daydream,sushrutaa,It Runs Through Me,Tom Misch,Geography,261881,2
daydream,sushrutaa,Glasshouses,Maribou State,Kingdoms In Colour,225910,59
daydream,sushrutaa,BOYFREN,LoveLeo,BOYFREN,136955,0
daydream,sushrutaa,Glo Ride,Hot Flash Heat Wave,Glo Ride,211848,39
daydream,sushrutaa,Listerine,Dayglow,Fuzzybrain,215555,1
daydream,sushrutaa,Drag,Day Wave,Drag,189651,16
daydream,sushrutaa,Seabirds,pizzagirl,Seabirds,298477,0
daydream,sushrutaa,Angel Youth,Vansire,Angel Youth,242514,0
daydream,sushrutaa,Too Little,Tora,Take a Rest,125035,0
daydream,sushrutaa,Cardigan Song,Kikagaku Moyo,House in the Tall Grass,289000,42
daydream,sushrutaa,Withorwithout,Parcels,Parcels,205048,54
daydream,sushrutaa,Movies,Alfie Templeman,Don't Go Wasting Time,197638,0
daydream,sushrutaa,Glide,Peach Tree Rascals,Glide,237583,0
daydream,sushrutaa,jasmine - demo,Jai Paul,Leak 04-13 (Bait Ones),253080,0
daydream,sushrutaa,Whoa,Inner Wave,Underwater +,141968,0
daydream,sushrutaa,The Bug Collector,Haley Heynderickx,I Need to Start a Garden,228459,71
daydream,sushrutaa,Health Food,Berhana,Health Food,247498,29
daydream,sushrutaa,Supernova,Sunni Colón,Supernova,141374,56
daydream,sushrutaa,idwtgtbt,the booyah! kids,bedroom headroom,111375,53
daydream,sushrutaa,Way You Move,Froogle,Way You Move,136062,32
daydream,sushrutaa,Going Gets Tough,The Growlers,Chinese Fountain,208613,9
daydream,sushrutaa,Chardonnay,The Undercover Dream Lovers,Chardonnay,215809,0
daydream,sushrutaa,Fast Talk - Bad Child Remix,Houses,Drugstore Heaven (Remixes),194792,0
daydream,sushrutaa,Drip,The Marías,Drip,195754,49
