playlist_name,playlist_owner,track_name,artist,album,duration,popularity
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Marijuana,Shamoon Ismail,Cookie,186985,48
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Sahiba,Intense,Midnight,238707,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Confession,Sidhu Moose Wala,Snitches Get Stitches,141244,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,About Time,Burrah,About Time,237777,13
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Pardo,Nishu,Pardo,226720,30
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Tofa,Prabh Deep,Tofa,232941,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Khat,Prabh Deep,Khat,246010,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Maya,Prabh Deep,Maya,274424,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Amar,Prabh Deep,Amar,272747,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Kala,Prabh Deep,Kala,210592,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Dhakka,Sidhu Moose Wala,Dhakka,246818,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Excuses,Intense,Excuses,176232,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Track Suit,Diljit Dosanjh,G.O.A.T.,198260,50
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,G.O.A.T.,Diljit Dosanjh,G.O.A.T.,223636,66
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Toxic,AP Dhillon,Toxic,184102,64
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Brown Munde,AP Dhillon,Brown Munde,254400,75
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Arrogant,AP Dhillon,Arrogant,102315,72
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Hustlin',Gminxr,Hustlin',165161,58
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Adhiya,Karan Aujla,Adhiya,177397,51
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Bewaffa,Ranjit Mani,Dark & Direct,333280,0
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Pyar Bolda,Jassa Dhillon,Pyar Bolda,162375,59
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Old Skool,Prem Dhillon,Old Skool,253636,69
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Majhail,AP Dhillon,Majhail,175187,63
desi indie ,316avtgv6lqfwjcpufnnpgynqj2m,Don't Look,Karan Aujla,Don't Look,186409,66
