playlist_name,playlist_owner,track_name,artist,album,duration,popularity
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Devuélvemelo,Babi,Devuélvemelo,242536,0
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Lo Que Siento,Cuco,Lo Que Siento,311985,0
eśpañol,22auvhdoqxfrv4t7stdgfxqha,tuviste,Bratty,tuviste,234613,33
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Bailando,Ruzzi,Bailando,187697,43
eśpañol,22auvhdoqxfrv4t7stdgfxqha,El Monstruo De Mi Habitación,Planeta Mio,El Monstruo De Mi Habitación,239761,1
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Dártelo,Ruzzi,Nave Especial,197328,46
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Cuando,Ruzzi,Nave Especial,206475,54
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Ella,Boza,Ella,221407,61
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Aloha,Maluma,"Aloha (feat. Darell, Mambo Kingz & Dj Luian)",241659,69
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Tattoo - Remix with Camilo,Rauw Alejandro,Tattoo (Remix with Camilo),222680,69
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Morena Mía,Girl Ultra,Nuevos Aires,260445,48
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Pruébame a Ti,Jósean Log,El Tiempo Locura Todo,193186,64
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Te Alejas Más De Mí,Esteman,Si Volviera A Nacer,219720,66
eśpañol,22auvhdoqxfrv4t7stdgfxqha,Bendita Diabla - Apaga La Luz,E-Lhoy,Bendita Diabla (Apaga La Luz),210000,45
eśpañol,22auvhdoqxfrv4t7stdgfxqha,"Honey, No Estás",Bratty,Delusión,207333,61
