playlist_name,playlist_owner,track_name,artist,album,duration,popularity
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,MUD,Flume,Hi This Is Flume (Mixtape),88644,42
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Spring,Flume,Hi This Is Flume (Mixtape),217400,40
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Jewel,Flume,Hi This Is Flume (Mixtape),193732,46
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,High Beams,Flume,Hi This Is Flume (Mixtape),203882,43
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Love$ick (feat. A$AP Rocky),Mura Masa,Mura Masa,192160,74
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,You Know (feat. Allan Kingdom & Raekwon),Flume,Skin,202351,35
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,How To Build A Relationship,Flume,Hi This Is Flume (Mixtape),184816,44
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Helix,Flume,Skin,210247,40
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Hyperparadise - Flume Mixtape Version,Flume,Flume: Deluxe Edition,79358,27
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Bring You Down feat. George Maple,Flume,Flume: Deluxe Edition,278096,31
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Ezra,Flume,Flume: Deluxe Edition,217188,41
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Intro,Flume,Flume: Deluxe Edition,234146,28
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Lotus Eater,Mura Masa,Soundtrack To A Death,145655,42
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Pendulum Rhthym,Toadface,Ancient Arts,222216,4
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Ecdysis,Flume,Hi This Is Flume (Mixtape),104888,44
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Push Gets to Shovin,Hippie Sabotage,The Sunny Album (Deluxe Edition),192548,27
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Squarelove,QUIET BISON,Trials and Tribulations,138025,0
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Thimble,QUIET BISON,Trials and Tribulations,189387,0
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,hand crushed by a mallet,100 gecs,1000 gecs,126616,0
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,A Baru In New York - Flume Soundtrack Version,Flume,Flume: Deluxe Edition,337500,29
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Enough,Flume,Skin Companion EP II,192293,33
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Ants,edIT,Crying over Pros for No Reason (Deluxe Edition),243133,42
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Sex Drive,Machine Gun Kelly,Hotel Diablo,123167,46
flume-eśq,22auvhdoqxfrv4t7stdgfxqha,Shanghaied,Hudson Mohawke,Watch Dogs 2 Original Game Soundtrack,233572,0
