playlist_name,playlist_owner,track_name,artist,album,duration,popularity
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Teri Deewani,Kailash Kher,Kailasa,323520,67
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Tauba Tauba,Kailash Kher,Kailasa,232013,36
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Tu Hi Haqeeqat,Pritam,Best of Bollywood: Pritam,302026,22
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Tum Mile - Love Reprise,Pritam,Tum Mile (Original Motion Picture Soundtrack),303320,57
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Maula Mere Maula,Mithoon,Anwar,364329,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Saibo,Sachin-Jigar,Shor in the City (Original Motion Picture Soundtrack),195253,75
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Zara Sa,Pritam,Jannat (Original Motion Picture Soundtrack),303680,74
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Mere Bina,Pritam,Crook (Original Motion Picture Soundtrack),289560,68
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Toh Phir Aao,Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack),355866,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Tera Mera Rishta,Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack),347040,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Toh Phir Aao, Pt. 1",Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack),348280,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Toh Phir Aao, Pt. 2",Mustafa Zahid,Awarapan (Original Motion Picture Soundtrack),309960,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Roobaroo,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),282973,59
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Khalbali,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),379226,48
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Luka Chuppi,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),396506,59
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Zinda,Shankar-Ehsaan-Loy,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),211120,65
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Junoon,Abhijeet Sawant,Junoon,316333,16
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Ek Shaqs,Abhijeet Sawant,Junoon,340253,11
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Pani Da Rang Male (From ""Vicky Donor"")",Ayushmann Khurrana,Vicky Donor,240786,1
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Shukran Allah (From ""Kurbaan"")",Salim–Sulaiman,Sonu Nigam: Best of Me,290053,34
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Pehli Nazar Mein (From ""Race"")",Atif Aslam,Atif Rocks,308268,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Tere Bina,A.R. Rahman,Guru (Original Motion Picture Soundtrack),309640,70
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein (Original Motion Picture Soundtrack),298266,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Such Keh Raha Hai,Kavita Krishnamurthy,Rehnaa Hai Terre Dil Mein (Original Motion Picture Soundtrack),328880,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Piyu Bole (From ""Parineeta"")",Sonu Nigam,Aapke Pyaar Mein (Love Songs),267840,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Kabhi Neem Neem (From ""Yuva"")",Madhushree,A.R. Rahman the Music Maestro of Bollywood,298933,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Maula Mere Maula - From ""Anwar""",Roop Kumar Rathod,Melodious: Roop Kumar Rathod,364329,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Jiya Dhadak Dhadak Jaye - From ""Kalyug""",Rahat Fateh Ali Khan,Sensational Rahat,319480,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Dil Se Re,A.R. Rahman,Dil Se (Original Motion Picture Soundtrack),405706,57
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Ya Ali,Zubeen Garg,Gangster (Original Motion Picture Soundtrack),295800,48
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Iktara,Amit Trivedi,Wake Up Sid (Original Motion Picture Soundtrack),253773,56
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Dooriyan,Mohit Chauhan,Love Aaj Kal (Original Motion Picture Soundtrack),337360,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Kal Ho Naa Ho,Shankar-Ehsaan-Loy,Kal Ho Naa Ho (Original Motion Picture Soundtrack),321240,68
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Rang De Basanti,A.R. Rahman,Rang De Basanti (Original Motion Picture Soundtrack),363800,54
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Bheegi Bheegi,James,Gangster (Original Motion Picture Soundtrack),345240,44
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Tu Hi Meri Shab Hai, Pt. 1",KK,Gangster (Original Motion Picture Soundtrack),389693,50
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Kala Chasma,Kam Dhillon,Dance With Me - Aaja Ni Aaja,268301,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Char Baj Gaye - Party Abhi Baaki Hai,Sachin-Jigar,F.A.L.T.U (Original Motion Picture Soundtrack),213880,58
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Why this kolaveri di,Dhanush,Why This Kolaveri Di?,259293,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Urvashi Urvashi,A.R. Rahman,Hum Se Hai Muqabala - Kadalan (Original Motion Picture Soundtrack),196115,58
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Muqabla Muqabla,Mano,90's Dance (Bollywood Style),323893,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Party on My Mind (From ""Race 2"")",KK,"Party on My Mind (From ""Race 2"")",221819,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Glassy,DJ Rekha,Basement Bhangra,192680,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Aja Mahi,"RDB feat. Manjeet Singh, MC Metz & MC Trix",Danger 2,245813,52
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Jaguar,Bohemia,Desi Hip Hop,166870,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Dil Luteya,Jazzy B,Romeo,261760,43
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Dil Ibaadat (From ""Tum Mile"")",Pritam,KK: Best of Me,329386,28
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Bang Bang,Vishal-Shekhar,Bang Bang (Original Motion Picture Soundtrack),320000,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Ek Dafaa (Chinnamma),Arjun Kanungo,Ek Dafaa (Chinnamma),222721,50
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Proper Patola (feat. Badshah),Diljit Dosanjh,The Badshah of Party Hits,150640,47
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Ishq Bina (From ""Taal"")",Sujatha,Taal (Original Motion Picture Soundtrack),460498,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Get Up Jawani,Yo Yo Honey Singh,International Villager,228426,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Dope Shope,Yo Yo Honey Singh,International Villager,211764,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Goliyan,Yo Yo Honey Singh,International Villager,217782,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Brown Rang,Yo Yo Honey Singh,International Villager,211394,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Slowly Slowly,Sachin-Jigar,Go Goa Gone (Original Motion Picture Soundtrack),197960,46
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Khoon Choos Le,Sachin-Jigar,Go Goa Gone (Original Motion Picture Soundtrack),198760,35
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Main Aisa Kyon Hoon,Shankar-Ehsaan-Loy,Lakshya (Original Motion Picture Soundtrack),274266,45
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,In Dino,Pritam,Life In A Metro (Original Motion Picture Soundtrack),397026,63
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Pata Chalgea,Imran Khan,Pata Chalgea,285173,65
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Na Ja,Pav Dharia,Na Ja,208000,72
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Khalbali,Shilpa Rao,3G - A Killer Connection,339893,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Chaiyya Chaiyya (From ""Dil Se"")",Sukhwinder Singh,Bollywood's Musical Extravaganza - Sonu Nigam & Sukhwinder Singh,416613,54
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Jiya Jale,Lata Mangeshkar,Dil Se (Original Motion Picture Soundtrack),309106,53
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Keh Ke Lunga,Amit Trivedi,Gangs Of Wasseypur,287891,40
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Jiya Tu,MANOJ TIWARI,Gangs Of Wasseypur,319932,47
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Hunter,Vedesh Sookoo,Gangs Of Wasseypur,257009,42
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Womaniya,Khushboo Raaj,Gangs Of Wasseypur,322563,40
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Kaala Rey,Sneha Khanwalkar,Gangs Of Wasseypur - 2,308963,36
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Gela Gela Gela Dil Gela Gela (From ""Aitraaz"")",Adnan Sami,Aitraaz (Original Motion Picture Soundtrack),276320,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Mitwa,A.R. Rahman,Lagaan (Original Motion Picture Soundtrack),407800,54
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Munda Manaka Da,Jass Manak,Age 19,151651,45
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Aye Hip Hopper! (feat. Sunidhi Chauhan) (Original Hindi),Ishq Bector,Aye! Hip Hopper Collection,200800,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Karle Gunaah,Ishq Bector,Ugly Aur Pagli,252987,18
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,"Ek Din Teri Raahon (From ""Naqaab"")",Javed Ali,#1Hits of Pritam,287521,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Smoke Shisha Play Fifa,Jordindian,Smoke Shisha Play Fifa,207157,38
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Sahara - Remix,Bohemia,Pesa Nasha Pyar,279680,38
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Moora,Sneha Khanwalkar,Gangs Of Wasseypur - 2,312160,35
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Moora (Morning),Deepak Kumar,Gangs Of Wasseypur - 2,336364,25
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,The Warli Revolt,Swadesi,The Warli Revolt,302000,0
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Mitti Di Khushboo,Rochak Kohli,Mitti Di Khushboo,247222,70
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Saadi Galli Aaja,Rochak Kohli,Nautanki Saala !,253416,68
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Babaji Ki Booti,Sachin-Jigar,Go Goa Gone (Original Motion Picture Soundtrack),226240,45
hindi damn why,22auvhdoqxfrv4t7stdgfxqha,Ek Tera Pyar Sari Duniya,Desi Hip Hop,Desi Hip Hop,278909,0
