playlist_name,playlist_owner,track_name,artist,album,duration,popularity
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Divenire,Ludovico Einaudi,Divenire,404253,0
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Nuvole bianche,Ludovico Einaudi,Una Mattina,357706,2
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,River Flows In You - Original,Yiruma,First Love (Yiruma Piano Collection),185527,0
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Fjarlægur,Oskar Schuster,Sneeuwland,234603,39
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Jewel,Liam Read,Jewel,200657,3
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Never Be Like You (Piano Arrangement),The Theorist,"Piano Covers, Fall 2016",226000,10
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Dastaan,Tajdar Junaid,What Colour Is Your Raindrop,207363,31
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,The Dichotomy Of Fame,A.R. Rahman,Rockstar,160500,46
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Bombay Theme - Bombay / Soundtrack Version,A.R. Rahman,Bombay (Original Motion Picture Soundtrack),318333,41
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Dearly Beloved,Kyle Landry,Dearly Beloved,414615,44
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,,,,0,0
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Una Mattina,Ludovico Einaudi,Una Mattina,203800,71
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Rawnald Gregory Erickson the Second,STRFKR,Starfucker,173693,65
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Scam 1992 Theme Music,Achint,Scam 1992 Theme Music,86206,54
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Ave Maria,Juelz,High Octane,173617,9
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Drop the Game (Piano Arrangement),The Theorist,"Piano Covers, Vol. 1",250174,20
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Uebok - Two Fingers Remix,Apashe,Renaissance (Remixes),194219,15
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Chasing Ice,J. Ralph,Chasing Ice Original Motion Picture Soundtrack,194040,16
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Is It or Isn't It Happening?,J. Ralph,Chasing Ice Original Motion Picture Soundtrack,91613,17
if my life had background score ,22auvhdoqxfrv4t7stdgfxqha,Cornfield Chase - Piano-Cello Version,Michael Forster,Piano Chill,124453,58
