playlist_name,playlist_owner,track_name,artist,album,duration,popularity
nostalgi,hedegaarde7,Take Me To Church,Hozier,Hozier,241688,85
nostalgi,hedegaarde7,Thinking out Loud,Ed Sheeran,x (Deluxe Edition),281560,84
nostalgi,hedegaarde7,Some Nights,fun.,Some Nights,277040,70
nostalgi,hedegaarde7,Story of My Life,One Direction,Midnight Memories (Deluxe),245493,83
nostalgi,hedegaarde7,Let Her Go,Passenger,All the Little Lights (Deluxe Version),252733,2
nostalgi,hedegaarde7,We Are Young (feat. Janelle Monáe),fun.,Some Nights,250626,79
nostalgi,hedegaarde7,7 Years,Lukas Graham,Lukas Graham (Blue Album),237300,54
nostalgi,hedegaarde7,"Hey, Soul Sister",Train,"Save Me, San Francisco (Golden Gate Edition)",216773,84
nostalgi,hedegaarde7,Best Day Of My Life,American Authors,"Oh, What A Life",194240,81
nostalgi,hedegaarde7,Payphone,Maroon 5,Overexposed Track By Track,231173,84
nostalgi,hedegaarde7,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,The Papercut Chronicles II,210960,83
nostalgi,hedegaarde7,Hey There Delilah,Plain White T's,All That We Needed,232533,80
nostalgi,hedegaarde7,See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),229525,84
nostalgi,hedegaarde7,Grenade,Bruno Mars,Doo-Wops & Hooligans,222091,81
nostalgi,hedegaarde7,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,242373,87
nostalgi,hedegaarde7,The Lazy Song,Bruno Mars,Doo-Wops & Hooligans,189109,80
nostalgi,hedegaarde7,On Top Of The World,Imagine Dragons,Night Visions,192280,79
nostalgi,hedegaarde7,Airplanes (feat. Hayley Williams of Paramore),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,180480,77
nostalgi,hedegaarde7,Am I Wrong,Nico & Vinz,Black Star Elephant,245866,77
nostalgi,hedegaarde7,Ho Hey,The Lumineers,The Lumineers (Deluxe Edition),163133,80
nostalgi,hedegaarde7,What Makes You Beautiful,One Direction,Up All Night,199986,85
nostalgi,hedegaarde7,Shallow,Lady Gaga,A Star Is Born Soundtrack,215733,84
nostalgi,hedegaarde7,Good Time,Owl City,The Midsummer Station,205933,78
nostalgi,hedegaarde7,I Want It That Way,Backstreet Boys,Millennium,213306,83
nostalgi,hedegaarde7,Hurtige Hænder - Acoustic Version - Moyo Live P3,The Minds Of 99,Hurtige Hænder (Acoustic Version - Moyo Live P3),251632,57
nostalgi,hedegaarde7,Be Alright,Dean Lewis,Be Alright,196373,79
nostalgi,hedegaarde7,Drive By,Train,California 37,195973,79
nostalgi,hedegaarde7,Counting Stars,OneRepublic,Native,257265,87
nostalgi,hedegaarde7,Marry You,Bruno Mars,Doo-Wops & Hooligans,230192,80
nostalgi,hedegaarde7,Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),484146,82
nostalgi,hedegaarde7,Waves,Dean Lewis,Same Kind Of Different,241292,49
nostalgi,hedegaarde7,Save Tonight,Eagle-Eye Cherry,Desireless,236040,55
nostalgi,hedegaarde7,Mirror,Lil Wayne,Tha Carter IV (Deluxe),228093,0
nostalgi,hedegaarde7,Clocks,Coldplay,A Rush of Blood to the Head,307879,83
nostalgi,hedegaarde7,The Balcony,The Rumour Said Fire,The Balcony,232013,42
nostalgi,hedegaarde7,The Night We Met,Lord Huron,Strange Trails,208211,87
nostalgi,hedegaarde7,Happy Home,Lukas Graham,Lukas Graham (Blue Album),217378,43
nostalgi,hedegaarde7,You're Not There,Lukas Graham,Lukas Graham (Blue Album),201100,44
nostalgi,hedegaarde7,Drunk In The Morning,Lukas Graham,Drunk In The Morning,209493,24
nostalgi,hedegaarde7,Flying,Nice Little Penguins,Flying,150640,46
nostalgi,hedegaarde7,Locked Away (feat. Adam Levine),R. City,Locked Away (feat. Adam Levine),227280,62
nostalgi,hedegaarde7,Love Someone,Lukas Graham,3 (The Purple Album),205440,61
nostalgi,hedegaarde7,Golden,Brandon Beal,Truth,204720,52
nostalgi,hedegaarde7,Don't You Worry Child - Radio Edit,Swedish House Mafia,Don't You Worry Child,212862,83
nostalgi,hedegaarde7,Eenie Meenie,Sean Kingston,Eenie Meenie,201946,77
nostalgi,hedegaarde7,Let Me Hold You (Turn Me On),Dante Klein,Let Me Hold You (Turn Me On),163841,0
nostalgi,hedegaarde7,Sex,Cheat Codes,Sex,228361,0
nostalgi,hedegaarde7,Turn The Lights Off (feat. Jon),Kato,Discolized,177386,41
nostalgi,hedegaarde7,Apologize,OneRepublic,Dreaming Out Loud,208106,75
nostalgi,hedegaarde7,Break Your Heart,Taio Cruz,The Rokstarr Hits Collection,201546,72
nostalgi,hedegaarde7,International Love (feat. Chris Brown),Pitbull,Planet Pit (Deluxe Version),227280,78
nostalgi,hedegaarde7,Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,202533,83
nostalgi,hedegaarde7,Fireflies,Owl City,Ocean Eyes,228346,79
nostalgi,hedegaarde7,One More Night,Maroon 5,Overexposed Track By Track,219546,78
nostalgi,hedegaarde7,Me And My Broken Heart,Rixton,Let The Road,193733,78
nostalgi,hedegaarde7,Superheroes,The Script,No Sound Without Silence,245466,75
nostalgi,hedegaarde7,Demons,Imagine Dragons,Night Visions,177506,86
nostalgi,hedegaarde7,Troublemaker,Olly Murs,Right Place Right Time (Expanded Edition),185586,76
nostalgi,hedegaarde7,Rude,MAGIC!,Don't Kill the Magic,224840,82
nostalgi,hedegaarde7,Stitches,Shawn Mendes,Handwritten,206880,81
