playlist_name,playlist_owner,track_name,artist,album,duration,popularity
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Decoy,Be Svendsen,Nabia,454426,0
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Mangüeiro,Baiuca,Mangüeiro,288308,45
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,We Were In Love,Ta-ku,Songs To Break Up To,229020,0
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Sirens,Monolink,Sirens,217190,59
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,I Miss You,Ta-ku,Songs To Break Up To,231053,34
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,How Strange - Nicola Cruz Remix,FEATHERED SUN,How Strange,320000,0
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Bulbo,FEATHERED SUN,Bulbo,367665,45
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Ocean Tree,FEATHERED SUN,Bulbo,591492,41
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Tarlabasi - Be Svendsen Remix,Oceanvs Orientalis,Indoor Voyager EP,545813,55
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Voyeur Girl,Stephen,it's too much love to know my dear,169200,2
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Superior,Silver Maple,Residuum,122727,31
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,À tout à l'heure,Bibio,Silver Wilkinson,249573,0
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Welcome,Fried Monk,Hurry Up and Wait,218135,1
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,96,Levit∆te,Legacy,226153,0
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,BRANDENBURG,Apparat,LP5,200786,12
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,Contemplation,KUČKA,Wrestling,207106,0
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,TERRITORY,The Blaze,TERRITORY,276373,69
otherworldly ,22auvhdoqxfrv4t7stdgfxqha,6 In the Morning,TENDER,6 In the Morning,258571,41
