playlist_name,playlist_owner,track_name,artist,album,duration,popularity
ourtun,22auvhdoqxfrv4t7stdgfxqha,Between the Buttons,French 79,Olympic,317520,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Diamond Veins (feat. Sarah Rebecca),French 79,Olympic,240120,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Vertigo Valley,French 79,Olympic,290413,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Under Your Spell,Desire,II,296400,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Nightcall,Kavinsky,Drive,259800,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Ocean Drive,Duke Dumont,Ocean Drive,206320,72
ourtun,22auvhdoqxfrv4t7stdgfxqha,Pacific Coast Highway,Kavinsky,Nightcall,344266,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,337560,76
ourtun,22auvhdoqxfrv4t7stdgfxqha,Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,353893,69
ourtun,22auvhdoqxfrv4t7stdgfxqha,"The Son of Flynn - From ""TRON: Legacy""/Score",Daft Punk,TRON: Legacy,95226,56
ourtun,22auvhdoqxfrv4t7stdgfxqha,After Party,French 79,Olympic,327306,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Sabali,Amadou & Mariam,Welcome To Mali,196626,56
ourtun,22auvhdoqxfrv4t7stdgfxqha,North Circular,Real Lies,Real Life,313120,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Digital Versicolor,Glass Candy,B/E/A/T/B/O/X,358053,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Odd Look,Kavinsky,Odd Look,253546,60
ourtun,22auvhdoqxfrv4t7stdgfxqha,BLADE,Devault,JADE,134581,12
ourtun,22auvhdoqxfrv4t7stdgfxqha,Speedboat Night Sweat,Swimware,Speedboat Night Sweat,231401,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Change Yr Mind,LUXXURY,Change Yr Mind,262384,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Hometown,French 79,Hometown,202107,23
ourtun,22auvhdoqxfrv4t7stdgfxqha,Holographic Landscape,S U R V I V E,LLR002,247432,38
ourtun,22auvhdoqxfrv4t7stdgfxqha,Limit (Bonus Track),Emil Rottmayer,Descend,250256,37
ourtun,22auvhdoqxfrv4t7stdgfxqha,Get Lucky (feat. Pharrell Williams and Nile Rodgers),Daft Punk,Random Access Memories,369626,75
ourtun,22auvhdoqxfrv4t7stdgfxqha,Veridis Quo,Daft Punk,Discovery,345186,68
ourtun,22auvhdoqxfrv4t7stdgfxqha,What Comes Back,Trent Reznor and Atticus Ross,The Vietnam War (Original Score),456004,24
ourtun,22auvhdoqxfrv4t7stdgfxqha,OBJECTS IN MIRROR (ARE CLOSER THAN THEY APPEAR),Trent Reznor and Atticus Ross,Watchmen: Volume 1 (Music from the HBO Series),98177,34
ourtun,22auvhdoqxfrv4t7stdgfxqha,Stay Forever (feat. STRFKR),Whethan,Stay Forever (feat. STRFKR),153430,37
ourtun,22auvhdoqxfrv4t7stdgfxqha,Roadgame,Kavinsky,OutRun,224386,40
ourtun,22auvhdoqxfrv4t7stdgfxqha,Chemicals,SG Lewis,Chemicals,254871,53
ourtun,22auvhdoqxfrv4t7stdgfxqha,Mirror Play,Cubicolor,Brainsugar,356844,27
ourtun,22auvhdoqxfrv4t7stdgfxqha,The Prince,Madeon,The Prince,222809,49
ourtun,22auvhdoqxfrv4t7stdgfxqha,Sneaky Driver,Bill Kiley,Katana Zero (Original Soundtrack),279853,41
ourtun,22auvhdoqxfrv4t7stdgfxqha,You Will Never Know,Bill Kiley,Katana Zero (Original Soundtrack),195720,38
ourtun,22auvhdoqxfrv4t7stdgfxqha,Meat Grinder,LudoWic,Katana Zero (Original Soundtrack),224680,38
ourtun,22auvhdoqxfrv4t7stdgfxqha,Delusive Bunker,LudoWic,Katana Zero (Original Soundtrack),317533,36
ourtun,22auvhdoqxfrv4t7stdgfxqha,Silhouette,Bill Kiley,Katana Zero (Original Soundtrack),215906,31
ourtun,22auvhdoqxfrv4t7stdgfxqha,Giorgio by Moroder,Daft Punk,Random Access Memories,544626,64
ourtun,22auvhdoqxfrv4t7stdgfxqha,Intro (with Chrome Sparks),Whethan,Fantasy,107836,30
ourtun,22auvhdoqxfrv4t7stdgfxqha,JPEG,Digitalism,JPEG,171866,45
ourtun,22auvhdoqxfrv4t7stdgfxqha,Resonance,Home,Odyssey,212881,8
ourtun,22auvhdoqxfrv4t7stdgfxqha,Take My Breath,The Weeknd,Dawn FM,339023,75
ourtun,22auvhdoqxfrv4t7stdgfxqha,Running Up That Hill,Chromatics,Night Drive,366997,48
ourtun,22auvhdoqxfrv4t7stdgfxqha,Movement 3,SOFA,Movement 3,406078,0
ourtun,22auvhdoqxfrv4t7stdgfxqha,Crepuscule,Fred Falke,Alpha,280240,43
ourtun,22auvhdoqxfrv4t7stdgfxqha,Lean On Me (with Swae Lee),Calvin Harris,Funk Wav Bounces Vol. 2,232997,45
ourtun,22auvhdoqxfrv4t7stdgfxqha,Obsessed (with Charlie Puth & Shenseea),Calvin Harris,Funk Wav Bounces Vol. 2,226497,61
ourtun,22auvhdoqxfrv4t7stdgfxqha,"New To You (with Normani, Tinashe & Offset)",Calvin Harris,Funk Wav Bounces Vol. 2,302613,51
ourtun,22auvhdoqxfrv4t7stdgfxqha,Nothing More To Say (with 6LACK & Donae’o),Calvin Harris,Funk Wav Bounces Vol. 2,233974,51
