playlist_name,playlist_owner,track_name,artist,album,duration,popularity
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Another Level (feat. Hard Lights),Flaremode,Another Level (feat. Hard Lights),195283,29
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Foundation,John Dahlbäck,Foundation,187826,13
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,A Little More (feat. Sansa),Kaskade,Automatic,233400,39
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Raven,John Dahlbäck,Saga,190155,47
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Never Let You Go,Dash Berlin,We Are (Part 1),257988,31
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Your Mind,Evol Waves,Your Mind,172380,12
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Eleventh Hour,Farius,Eleventh Hour,215125,10
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Found Love,Promise Land,Found Love,179995,21
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Skin,ALPHA 9,Skin,217500,19
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Medicate,Golden Features,SECT,268382,31
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Ground Control - Edit,Ben Böhmer,Ground Control,296978,35
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,In My Mind,Dynoro,In My Mind,183366,59
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Penny,Dimitri Vangelis & Wyman,Penny,199244,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Forever,Martin Garrix,Forever,218437,56
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Made For This - Radio Edit,Sick Individuals,Made For This (Radio Edit),189374,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Lost & Found - Radio Edit,Sick Individuals,Lost & Found,206367,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Beautiful World - Radio Edit,Blasterjaxx,Beautiful World (Radio Edit),214615,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Payback,Dimitri Vangelis & Wyman,Payback,349489,47
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Remember,Third Party,Remember,228661,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Sleeping Androids - Album Edit,Julian Calor,Evolve,237031,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,To the Core - Album Edit,Julian Calor,Evolve,235571,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Magic,MR.BLACK,Revealed Recordings presents ADE Sampler 2016,179490,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Najona,Tim Mason,Najona,219500,12
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Mountain - Short Version,Joachim Pastor,Mountain,305714,31
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Tivoli,Steve Angello,Tivoli,443872,28
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Together We Are (feat. Chris James),ARTY,Together We Are (feat. Chris James) [Remixes],358603,32
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Apollo - Original Mix,Hardwell,Apollo,311445,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Paradise,Tiësto,"Club Life, Vol. 3 - Stockholm (Spotify Exclusive)",314906,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Gettin' Over You (feat. Fergie & LMFAO),David Guetta,One More Love,187426,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Reload - Radio Edit,Sebastian Ingrosso,Reload,221272,46
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Knock You Out - Hardwell Remix,Bingo Players,Knock You Out (Remixes),386279,39
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,There's Only You - Above & Beyond Club Mix,Above & Beyond,There's Only You,247968,32
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,The King (with Dzeko),Dimitri Vangelis & Wyman,The King (with Dzeko),209493,39
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Free,Third Party,TOGETHER,228971,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Legacy,Dimitri Vangelis & Wyman,Legacy,198426,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Little Something - Super8 & Tab Remix ABGT Mix,Above & Beyond,Group Therapy 162,310172,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Trivia,Ralvero,Trivia,174374,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Project T,Dimitri Vegas & Like Mike,Project T,302633,37
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Milk Man,KAAZE,Milk Man,168647,0
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Hystereo,Armin van Buuren,A State Of Trance Year Mix 2014,161896,7
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Signs Of The Fall,Andrew Bayer,Signs Of The Fall,218437,24
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Your Eyes - In My Next Life Mix,Andrew Bayer,In My Next Life,286875,20
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,PROGRESSO,Alesso,ALESSO MIXTAPE - PROGRESSO VOLUME 1,299520,42
progressive is the shit,22auvhdoqxfrv4t7stdgfxqha,Novell (Mix Cut) - Original Mix,Nicky Romero,Protocol Radio - April's Finest 2016,264843,0
