playlist_name,playlist_owner,track_name,artist,album,duration,popularity
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Way Down in the Hole,Domaje,"...and all the pieces matter, Five Years of Music from The Wire (deluxe version)",103680,33
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Border Crossing,Dave Porter,"Better Call Saul, Vol. 1 (Original Score from the TV Series)",335728,35
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Breaking Bad Main Title Theme (Extended),Dave Porter,Breaking Bad: Original Score from the Television Series,75666,53
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,1977,Ana Tijoux,1977,201986,55
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Succession - Music from the Original TV Series,Nicholas Britell,Succession (Music from the Original TV Series),100800,27
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,OBJECTS IN MIRROR (ARE CLOSER THAN THEY APPEAR),Trent Reznor and Atticus Ross,Watchmen: Volume 1 (Music from the HBO Series),98177,34
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Woke up This Morning (The Sopranos Mix),Alabama 3,Hits and Exit Wounds,243946,0
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Puppets (Succession Remix),Pusha T,Puppets (Succession Remix),137520,43
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,"Red Right Hand (Theme from ""Peaky Blinders"") - (Flood Remix)",Nick Cave & The Bad Seeds,"Red Right Hand (Theme from ""Peaky Blinders"") - Single",381453,0
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Main Titles - Mindhunter,Jason Hill,Mindhunter (A Netflix Original Series Soundtrack),194112,30
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,Rodrigo Amarante,Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack],89293,68
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Wicked Games,Ramin Djawadi,Westworld: Season 3 (Music From The HBO Series),331594,42
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Gyöngyhajú lány,Omega,Omega LP Anthology,349666,36
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Dexter Main Title - Instrumental,Rolfe Kent,Dexter Season 1,99920,24
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Far From Any Road,The Handsome Family,True Detective (Music From The HBO Series),168920,39
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Dayman,Bumpin Uglies,Dayman,125773,36
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,1.0_3-fucksociety.mp3,Mac Quayle,"Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",132419,37
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,"Spacewalk (From ""Passengers"")",The City of Prague Philharmonic Orchestra,100 Greatest Science Fiction Themes,183146,0
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Daydreamin' (feat. Jill Scott),Lupe Fiasco,Daydreamin' (feat. Jill Scott),235066,33
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Where is my Mind? - Piano Rendition,The Blue Notes,Haunted Piano - Halloween Moods,166400,49
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,An Epic,Soft Lipa,Warrior (Cinemax Original Series Soundtrack),206216,16
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Warrior Main Title Theme,Reza Safinia,Warrior (Cinemax Original Series Soundtrack),89698,27
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Kom Veacha Tha Sneha Knom,Pan Ron,Rough Guide to Psychedelic Cambodia,201546,22
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Army,Ben Folds Five,The Unauthorized Biography Of Reinhold Messner,203160,45
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),214946,2
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Home,Edward Sharpe & The Magnetic Zeros,Up from Below,303200,70
soundtrack?,22auvhdoqxfrv4t7stdgfxqha,Home,Vitamin String Quartet,"The Modern Wedding Collection, Vol. 2",272093,39
