playlist_name,playlist_owner,track_name,artist,album,duration,popularity
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Madagascar,Dimitri Vegas & Like Mike,Madagascar,339640,22
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Momentum,Dimitri Vegas & Like Mike,Momentum,400202,26
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,REJ,Dimitri Vegas & Like Mike,REJ,346594,25
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Tomorrowland Anthem 2012,Dimitri Vegas & Like Mike,Tomorrowland Anthem 2012,276208,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Stampede,Dimitri Vegas & Like Mike,Stampede,257062,37
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Waves (Tomorrowland 2014 Anthem),Dimitri Vegas,Festival Favorites 2014 - Armada Music,206250,31
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Nova - Original Mix,Dimitri Vegas & Like Mike,Nova,252657,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,G.I.P.S.Y. - Radio Edit,Dimitri Vegas & Like Mike,G.I.P.S.Y.,221538,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Body Talk (feat. Julian Perretta),Dimitri Vegas & Like Mike,Body Talk (feat. Julian Perretta),207103,14
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Ocarina,Dimitri Vegas & Like Mike,Ocarina,294880,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Madness (feat. Lil Jon) - Radio Edit,Dimitri Vegas & Like Mike,Madness [feat. Lil Jon] [Remixes],240943,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Turn It Up,Dimitri Vegas & Like Mike,"Club Life, Vol. 3 - Stockholm (Spotify Exclusive)",283706,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Arcade - Radio Edit,Dimitri Vegas & Like Mike,Arcade (Radio Edit),225000,0
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Mammoth,Dimitri Vegas & Like Mike,Mammoth,332289,58
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Louder - Radio Edit,Dimitri Vegas & Like Mike,Louder,153784,52
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Melody - Radio Mix,Dimitri Vegas & Like Mike,Melody (Radio Mix),223384,29
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Arcade Mammoth,Dimitri Vegas & Like Mike,Arcade Mammoth,255937,48
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Opa,Dimitri Vegas & Like Mike,Opa,206250,49
the better DVLM,22auvhdoqxfrv4t7stdgfxqha,Tales Of Tomorrow,Dimitri Vegas & Like Mike,Tales Of Tomorrow,190165,0
