playlist_name,playlist_owner,track_name,artist,album,duration,popularity
um,22auvhdoqxfrv4t7stdgfxqha,They Don't Know About Us,One Direction,Take Me Home: Yearbook Edition,201693,0
um,22auvhdoqxfrv4t7stdgfxqha,What Makes You Beautiful,One Direction,Up All Night,199986,85
um,22auvhdoqxfrv4t7stdgfxqha,Perfect,One Direction,Made In The A.M. (Deluxe Edition),230333,80
um,22auvhdoqxfrv4t7stdgfxqha,Night Changes,One Direction,FOUR (Deluxe),226600,88
um,22auvhdoqxfrv4t7stdgfxqha,Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),192120,80
um,22auvhdoqxfrv4t7stdgfxqha,Story of My Life,One Direction,Midnight Memories (Deluxe),245493,83
um,22auvhdoqxfrv4t7stdgfxqha,Live While We're Young,One Direction,Take Me Home: Yearbook Edition,200186,0
um,22auvhdoqxfrv4t7stdgfxqha,18,One Direction,FOUR (Deluxe),248360,81
um,22auvhdoqxfrv4t7stdgfxqha,Strong,One Direction,Midnight Memories (Deluxe),184373,77
um,22auvhdoqxfrv4t7stdgfxqha,A.M.,One Direction,Made In The A.M. (Deluxe Edition),209040,64
um,22auvhdoqxfrv4t7stdgfxqha,Right Now,One Direction,Midnight Memories (Deluxe),200400,81
um,22auvhdoqxfrv4t7stdgfxqha,Ready to Run,One Direction,FOUR (Deluxe),196053,64
um,22auvhdoqxfrv4t7stdgfxqha,Love You Goodbye,One Direction,Made In The A.M. (Deluxe Edition),196933,65
um,22auvhdoqxfrv4t7stdgfxqha,If I Could Fly,One Direction,Made In The A.M. (Deluxe Edition),230320,68
um,22auvhdoqxfrv4t7stdgfxqha,I Want to Write You a Song,One Direction,Made In The A.M. (Deluxe Edition),179013,61
um,22auvhdoqxfrv4t7stdgfxqha,Happily,One Direction,Midnight Memories (Deluxe),175480,65
