playlist_name,playlist_owner,track_name,artist,album,duration,popularity
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,BRONZE_GARDEN,thook,DAWN,99173,3
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,"입참 Ancestral Rites, Entry",HNGIN,바람 Prajna,234428,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Talk To Me,Ivy Lab,Talk To Me,241230,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Yusuf,TRAKA,Maktub,189589,5
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,The Love Again,Only Child Tyrant,The Love Again,234450,1
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Ra Rise,Mono/Poly,Golden Skies,227920,34
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Void Song,Former,First Light,254373,19
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Unwound,Thys,Unwound,383922,4
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Back from the Tunnel,Mad Zach,Back from the Tunnel,301333,1
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Scars,Deft,Scars,268468,19
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Lore,Posij,Sun Tracker,205600,17
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Romper,Aztek,Summit,146440,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,DRY CREEK RD.,Odin,DRY CREEK RD.,194165,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Snakes,Eva808,Sultry Venom,160000,2
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Buried,Glume,Buried,212560,20
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Tehran Gunshots,Sir Hiss,Tehran Gunshots / Mr Sandman,200007,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Mergo,Bengal Sound,Mergo,200464,2
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Piper Of The Swarm,Substrada,DUPLOC BLXCK TXPES 3.0 (XXL),306325,1
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Lost Gods,Two Fingers,Lost Gods,229988,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Living Bones,Commodo,Living Bones,272000,0
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,The Saga,Shades,In Praise Of Darkness,195346,27
Ť̷̪̈́̈́h̸̖͇͇̎̋̓ė̸̳̭̿̓ ̷̢͈̟̿Ń̶̩̟̊͛o̶͙͚͂̈͝m̵̬̪͕̃̏ḁ̴̇d̷̼͓̜̕̕͝,2267dhow234cnvkhmz6kmzxla,Stay In Your Lane,TRAKA,MONSTAS,150256,2
