playlist_name,playlist_owner,track_name,artist,album,duration,popularity
👑,22auvhdoqxfrv4t7stdgfxqha,Rich Niggaz,J. Cole,Born Sinner (Deluxe Version),276093,62
👑,22auvhdoqxfrv4t7stdgfxqha,Niggaz Know,J. Cole,Born Sinner (Deluxe Version),217240,52
👑,22auvhdoqxfrv4t7stdgfxqha,Trouble,J. Cole,Born Sinner (Deluxe Version),258399,54
👑,22auvhdoqxfrv4t7stdgfxqha,1985 - Intro to “The Fall Off”,J. Cole,KOD,190176,62
👑,22auvhdoqxfrv4t7stdgfxqha,KOD,J. Cole,KOD,191436,67
👑,22auvhdoqxfrv4t7stdgfxqha,9 5 . s o u t h,J. Cole,The Off-Season,196946,64
👑,22auvhdoqxfrv4t7stdgfxqha,Immortal,J. Cole,4 Your Eyez Only,201666,64
👑,22auvhdoqxfrv4t7stdgfxqha,False Prophets,J. Cole,False Prophets,237426,58
👑,22auvhdoqxfrv4t7stdgfxqha,A Tale of 2 Citiez,J. Cole,2014 Forest Hills Drive,269786,0
👑,22auvhdoqxfrv4t7stdgfxqha,Apparently,J. Cole,2014 Forest Hills Drive,293040,1
👑,22auvhdoqxfrv4t7stdgfxqha,Power Trip (feat. Miguel),J. Cole,Born Sinner,241160,1
👑,22auvhdoqxfrv4t7stdgfxqha,Motiv8,J. Cole,KOD,133921,62
👑,22auvhdoqxfrv4t7stdgfxqha,Neighbors,J. Cole,4 Your Eyez Only,216520,74
👑,22auvhdoqxfrv4t7stdgfxqha,Can't Get Enough,J. Cole,Cole World: The Sideline Story,225960,0
👑,22auvhdoqxfrv4t7stdgfxqha,New York Times (feat. 50 Cent & Bas),J. Cole,Born Sinner (Deluxe Version),271813,53
👑,22auvhdoqxfrv4t7stdgfxqha,Fire Squad,J. Cole,2014 Forest Hills Drive,288123,66
👑,22auvhdoqxfrv4t7stdgfxqha,G.O.M.D,J. Cole,2014 Forest Hills Drive,301064,74
👑,22auvhdoqxfrv4t7stdgfxqha,Is She Gon Pop,J. Cole,Born Sinner (Deluxe Version),165400,57
👑,22auvhdoqxfrv4t7stdgfxqha,My Boy (feat. J. Cole) - Freestyle,Wale,Free Lunch,269657,47
👑,22auvhdoqxfrv4t7stdgfxqha,On The Street Freestyle (J.Cole Response),Julius Keith,On The Street Freestyle (J.Cole Response),160030,1
